,sample_idx,resnet50_cifar10_trades8_255_adv_conf1_255,resnet50_cifar10_trades8_255_adv_conf2_255,resnet50_cifar10_trades8_255_adv_conf4_255,resnet50_cifar10_trades8_255_is_acc,resnet50_cifar10_trades8_255_is_rob1_255,resnet50_cifar10_trades8_255_is_rob2_255,resnet50_cifar10_trades8_255_is_rob4_255,resnet50_cifar10_trades8_255_nat_conf,resnet50_cifar10_trades8_255_pred
0,0,0.3971549272537232,0.3928437530994415,0.3827364146709442,1,1,1,1,0.40101465582847595,3
1,1,0.7577331066131592,0.7474417090415955,0.7254472374916077,1,1,1,1,0.7671332955360413,8
2,2,0.5843737721443176,0.5640236139297485,0.5140876770019531,1,1,1,1,0.6009037494659424,8
3,3,0.6969819068908691,0.6816524267196655,0.644858717918396,1,1,1,1,0.7121198773384094,0
4,4,0.3956371247768402,0.3806779682636261,0.3538748323917389,1,1,1,1,0.40974441170692444,6
5,5,0.4165799021720886,0.4060745239257813,0.3806788921356201,1,1,1,1,0.4256199896335602,6
6,6,0.5047838091850281,0.4675594866275787,0.39173999428749084,1,1,1,1,0.5391716957092285,1
7,7,0.2280609756708145,0.2386450469493866,0.26339003443717957,0,1,0,0,0.23240934312343597,4
8,8,0.34824350476264954,0.3399553596973419,0.32263562083244324,1,1,1,1,0.3557690978050232,3
9,9,0.3320079743862152,0.3360038995742798,0.4018748998641968,1,1,0,0,0.35225117206573486,1
10,10,0.5909246206283569,0.5729517340660095,0.5352720022201538,1,1,1,1,0.6048738956451416,0
11,11,0.7993984818458557,0.7914836406707764,0.7738231420516968,1,1,1,1,0.8068686723709106,9
12,12,0.2399893254041672,0.2465357929468155,0.2863255441188812,0,1,0,0,0.24913202226161957,4
13,13,0.8975908756256104,0.8954392075538635,0.8910099864006042,1,1,1,1,0.8995910882949829,7
14,14,0.7204735279083252,0.7151696681976318,0.7025823593139648,1,1,1,1,0.7252139449119568,9
15,15,0.5687170624732971,0.5449897050857544,0.48978281021118164,1,1,1,1,0.5907221436500549,8
16,16,0.5203635692596436,0.5050666928291321,0.47593140602111816,1,1,1,1,0.5346547961235046,5
17,17,0.4074752330780029,0.39420342445373535,0.35947930812835693,1,1,1,1,0.4187391400337219,7
18,18,0.657087504863739,0.6395711898803711,0.5991875529289246,1,1,1,1,0.6730902194976807,8
19,19,0.6343003511428833,0.6208520531654358,0.5914655923843384,1,1,1,1,0.6474409103393555,6
20,20,0.4505301415920258,0.4196458458900452,0.357369601726532,1,1,1,1,0.478870153427124,7
21,21,0.7749171853065491,0.7687909007072449,0.7565670609474182,1,1,1,1,0.7809082865715027,0
22,22,0.3030097782611847,0.32564303278923035,0.3682725429534912,0,0,0,0,0.3057686388492584,0
23,23,0.8689120411872864,0.8655626177787781,0.8575922250747681,1,1,1,1,0.8719932436943054,9
24,24,0.3607235252857208,0.3501601815223694,0.3199506998062134,0,1,1,0,0.37115684151649475,4
