,sample_idx,Carmon2019Unlabeled_cifar10_autoaugment_trades1_255_adv_conf1_255,Carmon2019Unlabeled_cifar10_autoaugment_trades1_255_is_acc,Carmon2019Unlabeled_cifar10_autoaugment_trades1_255_is_rob1_255,Carmon2019Unlabeled_cifar10_autoaugment_trades1_255_nat_conf,Carmon2019Unlabeled_cifar10_autoaugment_trades1_255_pred
0,0,0.9898909330368042,1,1,0.9931373596191406,3
1,1,0.9966807961463928,1,1,0.9975348711013794,8
2,2,0.8075851202011108,1,1,0.9614030718803406,8
3,3,0.9963753819465637,1,1,0.9973301887512207,0
4,4,0.996674656867981,1,1,0.9976119995117188,6
5,5,0.9988622665405273,1,1,0.9991012811660767,6
6,6,0.9907427430152893,1,1,0.9948486089706421,1
7,7,0.966475784778595,1,1,0.9913807511329651,6
8,8,0.988063633441925,1,1,0.9935353994369507,3
9,9,0.9905809760093689,1,1,0.9959297776222229,1
10,10,0.995961606502533,1,1,0.9980631470680237,0
11,11,0.9992976188659668,1,1,0.9993531107902527,9
12,12,0.9872196912765503,1,1,0.9968236684799194,5
13,13,0.9992119073867798,1,1,0.9992902278900146,7
14,14,0.9984819293022156,1,1,0.9987437129020691,9
15,15,0.998967170715332,1,1,0.9991636276245117,8
16,16,0.9983674883842468,1,1,0.9991294741630554,5
17,17,0.9964738488197327,1,1,0.9972429275512695,7
18,18,0.9959393739700317,1,1,0.9969344139099121,8
19,19,0.9990405440330505,1,1,0.9992098808288574,6
20,20,0.9892834424972534,1,1,0.9962595701217651,7
21,21,0.9974575638771057,1,1,0.9975677132606506,0
22,22,0.5372493863105774,1,0,0.7566653490066528,4
23,23,0.9989877343177795,1,1,0.9991559982299805,9
24,24,0.9680265188217163,1,1,0.9876976609230042,5
25,25,0.9908490180969238,1,1,0.9943663477897644,2
26,26,0.6393094658851624,1,1,0.9064046144485474,4
27,27,0.9979444146156311,1,1,0.9982323050498962,0
28,28,0.9938420057296753,1,1,0.9971132278442383,9
29,29,0.9981334805488586,1,1,0.9984476566314697,6
30,30,0.9967589974403381,1,1,0.9976077079772949,6
31,31,0.9967156648635864,1,1,0.9973114728927612,5
32,32,0.9952571988105774,1,1,0.9965969920158386,4
33,33,0.9914217591285706,1,1,0.9960846900939941,5
34,34,0.9983571171760559,1,1,0.9986993074417114,9
35,35,0.40966397523880005,1,0,0.713725209236145,2
36,36,0.6934778690338135,0,0,0.7220370173454285,7
37,37,0.8790623545646667,1,1,0.9644532799720764,1
38,38,0.9983512163162231,1,1,0.9986074566841125,9
39,39,0.9989296793937683,1,1,0.9990758895874023,5
40,40,0.9996504783630371,1,1,0.9996989965438843,4
41,41,0.9994649291038513,1,1,0.9995507597923279,6
42,42,0.9986639022827148,1,1,0.9989155530929565,5
43,43,0.9977049231529236,1,1,0.9981069564819336,6
44,44,0.9955335855484009,1,1,0.9960898160934448,0
45,45,0.9990547299385071,1,1,0.9991905093193054,9
46,46,0.8037126064300537,1,1,0.9397878050804138,3
47,47,0.740196704864502,1,1,0.9269911646842957,9
48,48,0.9986237287521362,1,1,0.9988417029380798,7
49,49,0.9932692646980286,1,1,0.9960220456123352,6
50,50,0.9976971745491028,1,1,0.9984110593795776,9
51,51,0.9980657696723938,1,1,0.9984195232391357,8
52,52,0.9971942901611328,1,1,0.9982820749282837,0
53,53,0.5627020597457886,1,1,0.9223745465278625,3
54,54,0.9975062012672424,1,1,0.9977868795394897,8
55,55,0.9965084195137024,1,1,0.9972389936447144,8
56,56,0.996439516544342,1,1,0.9977983236312866,7
57,57,0.9935392737388611,1,1,0.9955652356147766,7
58,58,0.5228850245475769,1,0,0.7759357690811157,4
59,59,0.7029455900192261,0,1,0.8855569362640381,3
60,60,0.9988085031509399,1,1,0.9988853335380554,7
61,61,0.639069139957428,0,0,0.8478384017944336,5
62,62,0.9982467889785767,1,1,0.998569130897522,6
63,63,0.7194081544876099,1,0,0.70439213514328,3
64,64,0.996434211730957,1,1,0.9971394538879395,6
65,65,0.9972676038742065,1,1,0.9979342222213745,2
66,66,0.9981220364570618,1,1,0.9985053539276123,1
67,67,0.9990911483764648,1,1,0.9991421699523926,2
68,68,0.8367223739624023,1,1,0.9395434856414795,3
69,69,0.9940924048423767,1,1,0.9957067370414734,7
70,70,0.9901807308197021,1,1,0.9945884943008423,2
71,71,0.9964616894721985,1,1,0.99783855676651,6
72,72,0.9979797005653381,1,1,0.9982041120529175,8
73,73,0.9977825284004211,1,1,0.9981282353401184,8
74,74,0.9982641339302063,1,1,0.9985058307647705,0
75,75,0.9985664486885071,1,1,0.9986845850944519,2
76,76,0.9988641738891602,1,1,0.999030351638794,9
77,77,0.9962965846061707,1,1,0.9970243573188782,3
