,sample_idx,Sehwag2021Proxy_R18_cifar10_trades0.25_adv_conf0.25,Sehwag2021Proxy_R18_cifar10_trades0.25_is_acc,Sehwag2021Proxy_R18_cifar10_trades0.25_is_rob0.25,Sehwag2021Proxy_R18_cifar10_trades0.25_nat_conf,Sehwag2021Proxy_R18_cifar10_trades0.25_pred
0,0,0.9504931569099426,1,1,0.9894010424613953,3
1,1,0.9980304837226868,1,1,0.9990946054458618,8
2,2,0.9895568490028381,1,1,0.997820258140564,8
3,3,0.9892382621765137,1,1,0.996991753578186,0
4,4,0.9913873076438904,1,1,0.9992889165878296,6
5,5,0.9898847341537476,1,1,0.9990135431289673,6
6,6,0.8170411586761475,1,1,0.9477714896202087,1
7,7,0.9951810240745544,1,1,0.999484658241272,6
8,8,0.8749620914459229,1,1,0.9898524880409241,3
9,9,0.8408209085464478,1,1,0.9742117524147034,1
10,10,0.9936809539794922,1,1,0.9989756345748901,0
11,11,0.9988757967948914,1,1,0.9991340041160583,9
12,12,0.8188145160675049,1,0,0.5272594094276428,5
13,13,0.9990882873535156,1,1,0.9993088245391846,7
14,14,0.999515175819397,1,1,0.9997180104255676,9
15,15,0.9998341798782349,1,1,0.9999403953552246,8
16,16,0.9869100451469421,1,1,0.996249258518219,5
17,17,0.9993731379508972,1,1,0.9998326301574707,7
18,18,0.9608032703399658,1,1,0.9933307766914368,8
19,19,0.9983569979667664,1,1,0.9990519881248474,6
20,20,0.9406415224075317,1,1,0.9796066880226135,7
21,21,0.9651655554771423,1,1,0.9769124984741211,0
22,22,0.5814378261566162,0,0,0.8777048587799072,0
23,23,0.9988295435905457,1,1,0.9991490840911865,9
24,24,0.582179069519043,0,1,0.8939182162284851,4
25,25,0.9647610783576965,1,1,0.9898373484611511,2
26,26,0.9897006750106812,1,1,0.9991710186004639,4
27,27,0.9953362345695496,1,1,0.9986868500709534,0
28,28,0.9625110030174255,1,1,0.9949722290039062,9
29,29,0.9999129772186279,1,1,0.9999428987503052,6
30,30,0.9998582601547241,1,1,0.9999731779098511,6
31,31,0.9971821308135986,1,1,0.999285876750946,5
32,32,0.5020139813423157,1,0,0.9460910558700562,4
33,33,0.9848484396934509,1,1,0.9987412095069885,5
34,34,0.9974615573883057,1,1,0.998404324054718,9
35,35,0.7137786746025085,0,1,0.882717490196228,3
36,36,0.5056769251823425,0,0,0.8882215023040771,7
37,37,0.8426752686500549,1,0,0.5434290766716003,1
38,38,0.9974115490913391,1,1,0.9980069994926453,9
39,39,0.9926589131355286,1,1,0.9975399971008301,5
40,40,0.9995099306106567,1,1,0.9997772574424744,4
41,41,0.9997201561927795,1,1,0.9998959302902222,6
42,42,0.9972788691520691,1,1,0.9992058873176575,5
43,43,0.9932045936584473,1,1,0.9975282549858093,6
44,44,0.9974919557571411,1,1,0.9990672469139099,0
45,45,0.9991808533668518,1,1,0.9993996620178223,9
46,46,0.9210827946662903,1,1,0.9939507246017456,3
47,47,0.4531863331794739,1,0,0.7650152444839478,9
48,48,0.9704436659812927,1,1,0.9927525520324707,7
49,49,0.9450788497924805,1,1,0.9927816987037659,6
50,50,0.9626426100730896,1,1,0.9850782155990601,9
51,51,0.9515444040298462,1,1,0.9942080974578857,8
52,52,0.6447509527206421,0,1,0.9004493951797485,3
53,53,0.9403484463691711,1,0,0.6559617519378662,3
54,54,0.9991044402122498,1,1,0.9994220733642578,8
55,55,0.9845507740974426,1,1,0.9981834292411804,8
56,56,0.9526813626289368,1,1,0.9904542565345764,7
57,57,0.7365298867225647,0,0,0.5496644973754883,5
58,58,0.8559029698371887,0,0,0.9533563256263733,3
59,59,0.5698186755180359,1,0,0.8074503540992737,6
60,60,0.9997610449790955,1,1,0.9998526573181152,7
61,61,0.5652162432670593,1,1,0.8464395403862,3
62,62,0.9996925592422485,1,1,0.9998804330825806,6
63,63,0.5650761127471924,1,1,0.8713480830192566,3
64,64,0.993742048740387,1,1,0.999046266078949,6
65,65,0.969835638999939,1,1,0.996724545955658,2
66,66,0.9017817378044128,1,1,0.981349527835846,1
67,67,0.999954104423523,1,1,0.9999740123748779,2
68,68,0.9689458608627319,1,1,0.9966745376586914,3
69,69,0.9783334732055664,1,1,0.9932551383972168,7
70,70,0.6284540891647339,1,0,0.9463182687759399,2
71,71,0.9581533074378967,1,1,0.9974266886711121,6
72,72,0.9961517453193665,1,1,0.9985974431037903,8
73,73,0.9992614388465881,1,1,0.9995834231376648,8
74,74,0.9721724987030029,1,1,0.9953078627586365,0
75,75,0.9998087286949158,1,1,0.9999285936355591,2
76,76,0.819579541683197,1,1,0.9696226716041565,9
77,77,0.9908137917518616,1,1,0.9981637597084045,3
