,sample_idx,Carmon2019Unlabeled_cifar10_trades1_255_adv_conf1_255,Carmon2019Unlabeled_cifar10_trades1_255_is_acc,Carmon2019Unlabeled_cifar10_trades1_255_is_rob1_255,Carmon2019Unlabeled_cifar10_trades1_255_nat_conf,Carmon2019Unlabeled_cifar10_trades1_255_pred
0,0,0.9587207436561584,1,1,0.9808796048164368,3
1,1,0.9962803721427917,1,1,0.9966993927955627,8
2,2,0.9818753600120544,1,1,0.9917376637458801,8
3,3,0.996439516544342,1,1,0.9968553781509399,0
4,4,0.9833720326423645,1,1,0.9894124865531921,6
5,5,0.9953226447105408,1,1,0.9960004687309265,6
6,6,0.8793005347251892,1,1,0.9209228754043579,1
7,7,0.96803879737854,1,1,0.9888522624969482,6
8,8,0.972601056098938,1,1,0.9912646412849426,3
9,9,0.935448169708252,1,1,0.9890350103378296,1
10,10,0.996688187122345,1,1,0.9971274733543396,0
11,11,0.997467041015625,1,1,0.9975802898406982,9
12,12,0.4632268249988556,0,0,0.7228094339370728,3
13,13,0.9972363710403442,1,1,0.9973558187484741,7
14,14,0.996682345867157,1,1,0.9969019889831543,9
15,15,0.9983469247817993,1,1,0.998468816280365,8
16,16,0.9975441098213196,1,1,0.9977505803108215,5
17,17,0.9935378432273865,1,1,0.9944605827331543,7
18,18,0.9959362745285034,1,1,0.9964621663093567,8
19,19,0.9977206587791443,1,1,0.9979428648948669,6
20,20,0.9965505599975586,1,1,0.9967459440231323,7
21,21,0.9967373013496399,1,1,0.9968217611312866,0
22,22,0.9719179272651672,1,1,0.9901126027107239,4
23,23,0.998348593711853,1,1,0.9984664916992188,9
24,24,0.9676312208175659,1,1,0.9850717782974243,5
25,25,0.996048629283905,1,1,0.9964279532432556,2
26,26,0.7724835872650146,1,1,0.9308534264564514,4
27,27,0.9959335923194885,1,1,0.9961894154548645,0
28,28,0.9952423572540283,1,1,0.9960500597953796,9
29,29,0.9969471096992493,1,1,0.9971963167190552,6
30,30,0.8946945667266846,1,1,0.9692540764808655,6
31,31,0.9910575151443481,1,1,0.9949435591697693,5
32,32,0.9862565398216248,1,1,0.9935676455497742,4
33,33,0.9733500480651855,1,1,0.9930470585823059,5
34,34,0.9979408383369446,1,1,0.9980816841125488,9
35,35,0.4837416112422943,0,0,0.5333695411682129,3
36,36,0.9783908724784851,0,1,0.9884554147720337,7
37,37,0.6546965837478638,0,1,0.8449329137802124,9
38,38,0.9971838593482971,1,1,0.9973220229148865,9
39,39,0.9977966547012329,1,1,0.9980273842811584,5
40,40,0.9975705742835999,1,1,0.9977599382400513,4
41,41,0.9972623586654663,1,1,0.9975720047950745,6
42,42,0.9957669973373413,1,1,0.996492326259613,5
43,43,0.9940085411071777,1,1,0.9947688579559326,6
44,44,0.9949803948402405,1,1,0.995212197303772,0
45,45,0.9968017339706421,1,1,0.9969890713691711,9
46,46,0.9779723882675171,1,1,0.9884894490242004,3
