,sample_idx,Gowal2020Uncovering_28_10_extra_cifar10_trades1_255_adv_conf1_255,Gowal2020Uncovering_28_10_extra_cifar10_trades1_255_is_acc,Gowal2020Uncovering_28_10_extra_cifar10_trades1_255_is_rob1_255,Gowal2020Uncovering_28_10_extra_cifar10_trades1_255_nat_conf,Gowal2020Uncovering_28_10_extra_cifar10_trades1_255_pred
0,0,0.9985463619232178,1,1,0.9992169141769409,3
1,1,0.9956597685813904,1,1,0.9972702860832214,8
2,2,0.9988804459571838,1,1,0.9995492100715637,8
3,3,0.9997004270553589,1,1,0.9998210072517395,0
4,4,0.9994009733200073,1,1,0.9996223449707031,6
5,5,0.9990023970603943,1,1,0.9994636178016663,6
6,6,0.8809171915054321,1,1,0.9527546167373657,1
7,7,0.9873534440994263,1,1,0.9931432008743286,6
8,8,0.9984978437423706,1,1,0.999346911907196,3
9,9,0.86007159948349,1,0,0.7920535802841187,1
10,10,0.999351441860199,1,1,0.9997459053993225,0
11,11,0.9991737008094788,1,1,0.9993888139724731,9
12,12,0.9277745485305786,1,1,0.9903932213783264,5
13,13,0.9998235106468201,1,1,0.9998533725738525,7
14,14,0.9998711347579956,1,1,0.9999147653579712,9
15,15,0.999925971031189,1,1,0.9999480247497559,8
16,16,0.9994460940361023,1,1,0.9995661377906799,5
17,17,0.999661922454834,1,1,0.9997608065605164,7
18,18,0.9952772855758667,1,1,0.9980937838554382,8
19,19,0.9982742071151733,1,1,0.998768150806427,6
20,20,0.9734268188476562,1,1,0.9888233542442322,7
21,21,0.998307466506958,1,1,0.9987157583236694,0
22,22,0.9723899960517883,1,1,0.9947734475135803,4
23,23,0.9997605681419373,1,1,0.999816358089447,9
24,24,0.993603527545929,1,1,0.999011754989624,5
25,25,0.9992468357086182,1,1,0.9995220899581909,2
26,26,0.9759095311164856,1,1,0.9952036142349243,4
27,27,0.9998444318771362,1,1,0.9998830556869507,0
28,28,0.9998657703399658,1,1,0.9999098777770996,9
29,29,0.9991341233253479,1,1,0.9993913173675537,6
30,30,0.9986364245414734,1,1,0.9992196559906006,6
31,31,0.9998859167098999,1,1,0.9999239444732666,5
32,32,0.962455689907074,1,1,0.9966245889663696,4
33,33,0.9928024411201477,1,1,0.9968359470367432,5
34,34,0.9997534155845642,1,1,0.9998144507408142,9
35,35,0.5993601083755493,0,0,0.48898956179618835,3
36,36,0.7692588567733765,0,0,0.635183572769165,7
37,37,0.568330705165863,1,0,0.7191612124443054,1
38,38,0.9995455145835876,1,1,0.9996283054351807,9
39,39,0.9998037219047546,1,1,0.999862790107727,5
40,40,0.9998723268508911,1,1,0.9999209642410278,4
41,41,0.9963799118995667,1,1,0.9979403614997864,6
42,42,0.9828920364379883,1,1,0.9941238760948181,5
43,43,0.9996577501296997,1,1,0.9997666478157043,6
44,44,0.999984622001648,1,1,0.9999871253967285,0
45,45,0.9998169541358948,1,1,0.9998599290847778,9
46,46,0.7664703726768494,1,1,0.9399427175521851,3
47,47,0.7599411010742188,1,0,0.752245306968689,9
48,48,0.9997074007987976,1,1,0.999810516834259,7
49,49,0.9931066632270813,1,1,0.9985103011131287,6
50,50,0.99137282371521,1,1,0.9964240193367004,9
51,51,0.9989539384841919,1,1,0.99958735704422,8
52,52,0.46984627842903137,1,0,0.8154999613761902,0
53,53,0.940777599811554,1,1,0.986441433429718,3
54,54,0.9999017715454102,1,1,0.9999171495437622,8
55,55,0.9992914199829102,1,1,0.9994732737541199,8
56,56,0.9994577765464783,1,1,0.9997144341468811,7
57,57,0.9949966669082642,1,1,0.9983453750610352,7
58,58,0.5601277947425842,1,0,0.7948883771896362,4
59,59,0.8556551933288574,0,1,0.9475046396255493,4
60,60,0.999981164932251,1,1,0.9999856948852539,7
61,61,0.9507726430892944,1,1,0.9874446392059326,3
62,62,0.9989308714866638,1,1,0.9992173910140991,6
63,63,0.897793710231781,1,0,0.5461925864219666,3
64,64,0.9986494183540344,1,1,0.9992389678955078,6
65,65,0.9984179735183716,1,1,0.9988405108451843,2
66,66,0.9996435642242432,1,1,0.9997647404670715,1
67,67,0.999154806137085,1,1,0.9992546439170837,2
68,68,0.5252068042755127,1,1,0.8480079174041748,3
69,69,0.9998568296432495,1,1,0.9998968839645386,7
