,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades4_255_adv_conf4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades4_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades4_255_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades4_255_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades4_255_pred
0,0,0.3575860559940338,0,0,0.2285386025905609,79
1,1,0.24995702505111694,1,0,0.2586466670036316,33
2,2,0.31042033433914185,0,0,0.1634552925825119,95
3,3,0.4787415564060211,1,1,0.7279016375541687,51
4,4,0.8710631132125854,1,1,0.9384706616401672,71
5,5,0.5068308711051941,0,0,0.30581343173980713,79
6,6,0.3062273859977722,0,0,0.13670192658901215,38
7,7,0.2276877760887146,1,1,0.6328755021095276,14
8,8,0.55096834897995,0,0,0.48714548349380493,71
9,9,0.5934897661209106,0,0,0.658952534198761,53
10,10,0.18258336186408997,0,0,0.07243726402521133,42
11,11,0.4419108033180237,1,1,0.7072545886039734,75
12,12,0.5007053017616272,1,0,0.5017646551132202,81
13,13,0.8594254851341248,1,1,0.9334668517112732,69
14,14,0.9882777333259583,1,1,0.9916585087776184,40
15,15,0.2086004763841629,1,1,0.3758435845375061,43
16,16,0.9894784092903137,1,1,0.9949041604995728,92
17,17,0.6666153073310852,1,1,0.8831923007965088,97
18,18,0.9565005302429199,1,1,0.9642070531845093,70
19,19,0.9407182931900024,1,1,0.9768784046173096,53
20,20,0.9599024653434753,1,1,0.976111650466919,70
21,21,0.46017569303512573,1,1,0.6936852335929871,49
22,22,0.9220678210258484,1,1,0.9639459848403931,75
23,23,0.3244185447692871,0,1,0.4224569797515869,47
24,24,0.8626793622970581,1,1,0.9326654076576233,21
25,25,0.9328014850616455,1,1,0.9787918329238892,16
26,26,0.9978623986244202,1,1,0.9986294507980347,39
27,27,0.9712821841239929,1,1,0.9842650890350342,8
28,28,0.4007209837436676,1,1,0.6971715688705444,8
29,29,0.25721728801727295,0,1,0.3944365382194519,84
30,30,0.9990618824958801,1,1,0.9991965889930725,20
31,31,0.5017408728599548,0,0,0.41879868507385254,22
32,32,0.9966477751731873,1,1,0.9975703358650208,41
33,33,0.4570751488208771,0,0,0.27430179715156555,91
34,34,0.7424508333206177,1,1,0.8916269540786743,56
35,35,0.2503882050514221,0,0,0.12109208852052689,27
36,36,0.994997501373291,1,1,0.9974161386489868,58
37,37,0.7239866256713867,0,0,0.5152368545532227,35
38,38,0.655952513217926,1,1,0.8891800045967102,25
39,39,0.4096749722957611,1,1,0.6853707432746887,37
40,40,0.23037439584732056,1,0,0.22145144641399384,63
41,41,0.47086861729621887,0,0,0.23464640974998474,18
42,42,0.5702136754989624,0,0,0.23559466004371643,5
43,43,0.5889085531234741,0,1,0.7694140076637268,30
44,44,0.9827156066894531,1,1,0.9887433052062988,56
45,45,0.9598428606987,1,1,0.9783082604408264,22
46,46,0.7234287261962891,0,0,0.3347717821598053,89
