,sample_idx,resnet50_cifar10_autoaugment_trades2_255_adv_conf2_255,resnet50_cifar10_autoaugment_trades2_255_is_acc,resnet50_cifar10_autoaugment_trades2_255_is_rob2_255,resnet50_cifar10_autoaugment_trades2_255_nat_conf,resnet50_cifar10_autoaugment_trades2_255_pred
0,0,0.643688440322876,1,1,0.7332533001899719,3
1,1,0.9620037078857422,1,1,0.9771298766136169,8
2,2,0.4862559735774994,1,1,0.6847858428955078,8
3,3,0.9589967131614685,1,1,0.9745429158210754,0
4,4,0.6221659183502197,1,1,0.8052753210067749,6
5,5,0.6258317232131958,1,1,0.7729651927947998,6
6,6,0.8546959161758423,1,1,0.9235872626304626,1
7,7,0.34766557812690735,1,1,0.5002379417419434,6
8,8,0.5481038689613342,1,1,0.6998432874679565,3
9,9,0.47363823652267456,1,1,0.7657387852668762,1
10,10,0.4068264961242676,1,1,0.7000868320465088,0
11,11,0.9954030513763428,1,1,0.9966762065887451,9
12,12,0.5250134468078613,1,0,0.43889936804771423,5
13,13,0.9967400431632996,1,1,0.9974763989448547,7
14,14,0.9923840165138245,1,1,0.9947401881217957,9
15,15,0.8799512386322021,1,1,0.9361642003059387,8
16,16,0.6256786584854126,1,1,0.714483916759491,5
17,17,0.9144764542579651,1,1,0.9347943663597107,7
18,18,0.7752977013587952,1,1,0.9082795977592468,8
19,19,0.9858245849609375,1,1,0.9902695417404175,6
20,20,0.663075864315033,1,1,0.8520660996437073,7
21,21,0.832673192024231,1,1,0.8770923614501953,0
22,22,0.5825791358947754,0,0,0.4091774821281433,0
23,23,0.9984614849090576,1,1,0.9988957643508911,9
24,24,0.4547065198421478,0,0,0.5712477564811707,4
25,25,0.512319803237915,1,1,0.6178948879241943,2
26,26,0.34229588508605957,1,1,0.48918387293815613,4
27,27,0.8421511054039001,1,1,0.9247711896896362,0
28,28,0.9033628106117249,1,1,0.9299178719520569,9
29,29,0.9679480791091919,1,1,0.9747732281684875,6
30,30,0.612339973449707,1,1,0.7528973817825317,6
31,31,0.8794068098068237,1,1,0.9223514199256897,5
32,32,0.5291808843612671,1,1,0.6835667490959167,4
