,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades4_255_adv_conf4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades4_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades4_255_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades4_255_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades4_255_pred
0,0,0.3643505275249481,0,0,0.29312241077423096,30
1,1,0.2361329048871994,1,0,0.2277548909187317,33
2,2,0.3783855438232422,1,0,0.1913202852010727,72
3,3,0.4986795485019684,1,0,0.4171817898750305,51
4,4,0.6000074148178101,1,1,0.7682306170463562,71
5,5,0.30286863446235657,0,0,0.1836535483598709,43
6,6,0.3080461025238037,0,0,0.15184764564037323,38
7,7,0.3392355144023895,1,0,0.1790059357881546,14
8,8,0.771885097026825,1,1,0.821409285068512,23
9,9,0.43861517310142517,0,0,0.6487403512001038,57
10,10,0.43141600489616394,0,0,0.1766255646944046,59
11,11,0.5709311366081238,1,1,0.8963804841041565,75
12,12,0.5154770016670227,1,1,0.6322492361068726,81
13,13,0.6299689412117004,1,1,0.7430334687232971,69
14,14,0.9849358201026917,1,1,0.9896019101142883,40
15,15,0.20903846621513367,1,0,0.17433679103851318,43
16,16,0.9967748522758484,1,1,0.998302698135376,92
17,17,0.8672915697097778,1,1,0.9450370073318481,97
18,18,0.9720108509063721,1,1,0.9793514013290405,70
19,19,0.6942662596702576,1,1,0.9006500840187073,53
20,20,0.9793840050697327,1,1,0.9854521155357361,70
21,21,0.944017767906189,1,1,0.9800092577934265,49
22,22,0.8943151235580444,1,1,0.9357696771621704,75
23,23,0.3088275194168091,0,0,0.17841540277004242,17
24,24,0.8806523084640503,1,1,0.9200323820114136,21
25,25,0.8981724381446838,1,1,0.9620755314826965,16
26,26,0.996757447719574,1,1,0.9974155426025391,39
27,27,0.9870555400848389,1,1,0.9915133118629456,8
28,28,0.9366955757141113,1,1,0.9676080346107483,8
29,29,0.1706274449825287,0,1,0.22246894240379333,45
30,30,0.9925132393836975,1,1,0.9942400455474854,20
31,31,0.47275763750076294,0,0,0.3042849600315094,22
32,32,0.9937216639518738,1,1,0.9951537847518921,41
33,33,0.5289359092712402,0,1,0.7325531244277954,73
34,34,0.7696642279624939,1,1,0.8595544695854187,56
35,35,0.30685603618621826,0,0,0.2335890233516693,27
36,36,0.9898404479026794,1,1,0.9958118200302124,58
37,37,0.6114902496337891,1,0,0.4485359787940979,11
38,38,0.8998125791549683,1,1,0.9408014416694641,25
39,39,0.3585876226425171,1,0,0.4346655011177063,37
40,40,0.33277627825737,1,0,0.1883922666311264,63
41,41,0.39834824204444885,0,0,0.3306991159915924,72
42,42,0.6873155236244202,1,0,0.29160693287849426,49
43,43,0.5668843984603882,0,0,0.30808210372924805,76
44,44,0.9773622155189514,1,1,0.9832065105438232,56
45,45,0.9866635799407959,1,1,0.9912089109420776,22
46,46,0.3274919092655182,1,0,0.47759127616882324,41
47,47,0.999237060546875,1,1,0.9994943141937256,58
48,48,0.5886183381080627,0,0,0.2330862432718277,64
49,49,0.55792236328125,1,0,0.5728505849838257,17
50,50,0.8515065908432007,1,1,0.9298938512802124,4
51,51,0.4589702785015106,1,0,0.4800005257129669,6
52,52,0.9456804394721985,1,1,0.9684863090515137,9
53,53,0.5463165044784546,1,1,0.7783072590827942,57
54,54,0.28003206849098206,1,0,0.4206138253211975,2
55,55,0.4268333911895752,1,0,0.5333015322685242,32
56,56,0.7366843223571777,1,1,0.8256101012229919,71
57,57,0.5843909978866577,1,1,0.6414903402328491,52
58,58,0.7703351974487305,1,1,0.8591755032539368,42
59,59,0.49754178524017334,1,0,0.6998829245567322,69
60,60,0.3919036388397217,0,0,0.47925910353660583,99
61,61,0.5727555751800537,1,1,0.7248517870903015,27
62,62,0.5261787176132202,0,0,0.41851797699928284,19
63,63,0.21401235461235046,0,0,0.13160215318202972,38
64,64,0.774655282497406,0,0,0.42281001806259155,45
65,65,0.4117768406867981,1,0,0.55594402551651,35
66,66,0.3723662197589874,1,0,0.418755441904068,43
67,67,0.618514895439148,1,1,0.871722400188446,82
68,68,0.9386140704154968,1,1,0.9497876167297363,63
69,69,0.3911227583885193,0,0,0.20121526718139648,57
70,70,0.2845860719680786,1,0,0.1860968917608261,66
71,71,0.33479031920433044,0,0,0.48857438564300537,6
72,72,0.46590864658355713,0,0,0.19782084226608276,65
73,73,0.9270303845405579,1,1,0.9498580694198608,91
74,74,0.4166312515735626,0,0,0.5857170820236206,76
75,75,0.9639056921005249,1,1,0.9802423119544983,32
76,76,0.989361584186554,1,1,0.991309404373169,82
77,77,0.5307595729827881,1,1,0.7412263751029968,10
78,78,0.7064453959465027,1,1,0.8245541453361511,77
79,79,0.7966444492340088,0,1,0.8144581913948059,61
80,80,0.4590489864349365,1,1,0.7109236121177673,71
81,81,0.5332751274108887,1,1,0.611472487449646,78
82,82,0.920133113861084,1,1,0.9640911221504211,54
83,83,0.7445738315582275,1,1,0.8407909274101257,6
84,84,0.959345281124115,1,1,0.9767376780509949,29
85,85,0.9245901107788086,1,1,0.9594748616218567,89
86,86,0.894313633441925,0,1,0.9364781379699707,99
87,87,0.19525191187858582,0,0,0.1437171846628189,31
88,88,0.41032227873802185,0,0,0.19462795555591583,35
89,89,0.4723103642463684,0,0,0.5397736430168152,73
90,90,0.4297269880771637,1,1,0.6372970342636108,22
91,91,0.9231447577476501,1,1,0.972274899482727,18
92,92,0.3765415549278259,1,0,0.2917692959308624,27
93,93,0.7126114964485168,1,1,0.8880816698074341,21
94,94,0.4329773485660553,1,1,0.7089627385139465,13
95,95,0.3551807701587677,1,0,0.2121528834104538,21
96,96,0.28407031297683716,0,1,0.38379934430122375,6
97,97,0.4661378264427185,1,0,0.3553612232208252,75
98,98,0.3090705871582031,0,1,0.4461241066455841,68
99,99,0.3000974655151367,0,0,0.1970645934343338,85
100,100,0.4221518337726593,1,0,0.2831425666809082,26
101,101,0.477367639541626,0,0,0.4445401728153229,57
102,102,0.40830203890800476,1,0,0.39227494597435,47
103,103,0.5868080258369446,0,0,0.42780694365501404,44
104,104,0.9360049366950989,1,1,0.9701346755027771,43
105,105,0.9292265772819519,1,1,0.9465972781181335,69
106,106,0.9743595123291016,1,1,0.9825143218040466,76
107,107,0.644931435585022,1,1,0.7758648991584778,17
108,108,0.8273782134056091,1,1,0.9294390082359314,57
109,109,0.6900120377540588,0,1,0.8356310725212097,47
110,110,0.7935936450958252,1,1,0.8788860440254211,25
111,111,0.9756051301956177,1,1,0.9822752475738525,20
112,112,0.9488411545753479,1,1,0.9757449626922607,27
113,113,0.5314071178436279,0,1,0.7561901807785034,83
114,114,0.41154944896698,1,0,0.13821691274642944,9
115,115,0.33451613783836365,1,0,0.27678489685058594,71
116,116,0.5268002152442932,0,1,0.7580028176307678,48
117,117,0.7746452689170837,1,1,0.8759761452674866,43
118,118,0.6883059740066528,1,1,0.9059718251228333,57
119,119,0.9762160778045654,1,1,0.9875840544700623,56
120,120,0.6137199401855469,1,0,0.613815426826477,85
121,121,0.4109901487827301,0,0,0.3823906183242798,45
122,122,0.4117323160171509,1,1,0.6186391115188599,19
123,123,0.49890372157096863,0,0,0.5345796942710876,70
124,124,0.4049793481826782,1,1,0.5825534462928772,33
125,125,0.6883963942527771,1,1,0.8822004199028015,20
126,126,0.4359145164489746,1,0,0.5177374482154846,21
127,127,0.2619286775588989,0,0,0.143254354596138,27
128,128,0.9283040165901184,1,1,0.965386688709259,70
129,129,0.4802119731903076,1,1,0.5744571685791016,46
130,130,0.6304236650466919,0,0,0.27182266116142273,46
131,131,0.9960145950317383,1,1,0.9966981410980225,16
132,132,0.5093020796775818,1,0,0.3594557046890259,1
133,133,0.293025404214859,1,1,0.4186405837535858,74
