,sample_idx,Gowal2020Uncovering_28_10_extra_cifar10_trades2_255_adv_conf2_255,Gowal2020Uncovering_28_10_extra_cifar10_trades2_255_is_acc,Gowal2020Uncovering_28_10_extra_cifar10_trades2_255_is_rob2_255,Gowal2020Uncovering_28_10_extra_cifar10_trades2_255_nat_conf,Gowal2020Uncovering_28_10_extra_cifar10_trades2_255_pred
0,0,0.9695256352424622,1,1,0.982161819934845,3
1,1,0.9826114773750305,1,1,0.9893620610237122,8
2,2,0.9318303465843201,1,1,0.9896765351295471,8
3,3,0.9978273510932922,1,1,0.9990323781967163,0
4,4,0.9810592532157898,1,1,0.9948535561561584,6
5,5,0.9967241883277893,1,1,0.9975765347480774,6
6,6,0.9228642582893372,1,1,0.9744199514389038,1
7,7,0.7271965146064758,1,0,0.5549854040145874,6
8,8,0.9790087342262268,1,1,0.9916594624519348,3
9,9,0.6643338799476624,1,1,0.9888625741004944,1
10,10,0.9955311417579651,1,1,0.9965646862983704,0
11,11,0.9976697564125061,1,1,0.9982750415802002,9
12,12,0.8139917850494385,1,0,0.6418912410736084,5
13,13,0.9997727274894714,1,1,0.99981290102005,7
14,14,0.9982736110687256,1,1,0.9989000558853149,9
15,15,0.9993487000465393,1,1,0.999545156955719,8
16,16,0.996105968952179,1,1,0.99739670753479,5
17,17,0.9983687996864319,1,1,0.9988914132118225,7
18,18,0.9417975544929504,1,1,0.9810925126075745,8
19,19,0.9978803396224976,1,1,0.9984622001647949,6
20,20,0.9954492449760437,1,1,0.9966024160385132,7
21,21,0.9548330903053284,1,1,0.968700110912323,0
22,22,0.6982587575912476,0,1,0.9387068152427673,0
23,23,0.9943705201148987,1,1,0.9966590404510498,9
24,24,0.5703269839286804,1,1,0.9206605553627014,5
25,25,0.9947835803031921,1,1,0.9965576529502869,2
26,26,0.6778478026390076,1,0,0.6677870154380798,4
27,27,0.9978583455085754,1,1,0.9984292387962341,0
28,28,0.9962471127510071,1,1,0.9980230331420898,9
29,29,0.9971727132797241,1,1,0.9980371594429016,6
30,30,0.7210436463356018,1,1,0.9360899329185486,6
31,31,0.9823322892189026,1,1,0.996207594871521,5
32,32,0.5088028907775879,1,1,0.9485712051391602,4
33,33,0.9093982577323914,1,1,0.9726668000221252,5
34,34,0.9986357092857361,1,1,0.9989804625511169,9
