,sample_idx,resnet50_mtsd_l_stdaug_trades1_255_adv_conf1_255,resnet50_mtsd_l_stdaug_trades1_255_is_acc,resnet50_mtsd_l_stdaug_trades1_255_is_rob1_255,resnet50_mtsd_l_stdaug_trades1_255_nat_conf,resnet50_mtsd_l_stdaug_trades1_255_pred
0,0,0.4380509853363037,0,1,0.45516476035118103,13
1,1,0.9954524636268616,1,1,0.9956965446472168,1
2,2,0.6387448906898499,1,1,0.7024373412132263,1
3,3,0.9889101982116699,1,1,0.990871250629425,1
4,4,0.9172098636627197,1,1,0.9436078667640686,1
5,5,0.9863839745521545,1,1,0.9890052676200867,1
6,6,0.9880830645561218,1,1,0.9897834658622742,1
7,7,0.9951393604278564,1,1,0.9954414367675781,1
8,8,0.9912312626838684,1,1,0.9925070405006409,1
9,9,0.9699479937553406,1,1,0.9766736626625061,1
10,10,0.9904582500457764,1,1,0.9912989735603333,1
11,11,0.9698345065116882,1,1,0.9781975150108337,1
12,12,0.9789556264877319,1,1,0.9820892810821533,1
13,13,0.9944497346878052,1,1,0.9952623844146729,1
14,14,0.8007357716560364,1,1,0.8579272031784058,1
15,15,0.9929878115653992,1,1,0.9935551285743713,1
16,16,0.9889577627182007,1,1,0.99277663230896,2
17,17,0.8822193145751953,1,1,0.9333454370498657,2
18,18,0.8533721566200256,1,1,0.9085776209831238,2
19,19,0.7066631317138672,1,1,0.8191788792610168,2
20,20,0.9982593655586243,1,1,0.9983237385749817,3
21,21,0.8616141080856323,1,1,0.8755874633789062,3
22,22,0.978756308555603,1,1,0.9842442274093628,3
23,23,0.9983538389205933,1,1,0.9983958601951599,3
24,24,0.9901416897773743,1,1,0.9916101098060608,3
25,25,0.9933696985244751,1,1,0.9937554597854614,3
26,26,0.9825329780578613,1,1,0.9857572913169861,3
27,27,0.9910645484924316,1,1,0.9920247793197632,3
28,28,0.996597945690155,1,1,0.996749758720398,3
29,29,0.9899985194206238,1,1,0.991070032119751,3
30,30,0.9972353577613831,1,1,0.997351884841919,3
31,31,0.9944624304771423,1,1,0.9950816631317139,3
32,32,0.9952077269554138,1,1,0.995703399181366,3
33,33,0.9956364035606384,1,1,0.9960829019546509,3
