,sample_idx,Carmon2019Unlabeled_adv_conf16_255,Carmon2019Unlabeled_adv_conf1_255,Carmon2019Unlabeled_adv_conf2_255,Carmon2019Unlabeled_adv_conf4_255,Carmon2019Unlabeled_adv_conf8_255,Carmon2019Unlabeled_is_acc,Carmon2019Unlabeled_is_rob1_255,Carmon2019Unlabeled_is_rob2_255,Carmon2019Unlabeled_is_rob4_255,Carmon2019Unlabeled_is_rob8_255,Carmon2019Unlabeled_is_rob16_255,Carmon2019Unlabeled_nat_conf,Carmon2019Unlabeled_pred
0,0,0.6470861434936523,0.43401384353637695,0.4188144505023956,0.3836492300033569,0.4222252070903778,1,1,1,1,0,0,0.44760963320732117,3
1,1,0.5720057487487793,0.8522456884384155,0.8433507084846497,0.8204438090324402,0.7177299857139587,1,1,1,1,1,0,0.8599101305007935,8
2,2,0.833955705165863,0.7610701918601991,0.7380675077438354,0.6653603315353394,0.4944729506969452,1,1,1,1,0,0,0.7773227095603943,8
3,3,0.7714340090751648,0.9055392742156982,0.9009547829627992,0.8904356360435486,0.8591644763946533,1,1,1,1,1,0,0.9098926782608032,0
4,4,0.5973449349403381,0.4798727333545685,0.4595750272274017,0.4124874472618103,0.4295192062854767,1,1,1,1,0,0,0.4971785843372345,6
5,5,0.5961923599243164,0.5914546251296997,0.5818096995353699,0.5462149977684021,0.4072229266166687,1,1,1,1,1,0,0.5984423160552979,6
6,6,0.8523449897766113,0.4708400666713714,0.43056848645210266,0.4803949594497681,0.6525321006774902,1,1,1,0,0,0,0.5102832317352295,1
7,7,0.518449068069458,0.2941105365753174,0.2809468507766724,0.3196764886379242,0.3959681689739227,1,1,0,0,0,0,0.3102986812591553,6
8,8,0.635070264339447,0.4510364234447479,0.4381713271141052,0.4110238552093506,0.3638258874416351,1,1,1,1,0,0,0.4584921896457672,3
9,9,0.8869363069534302,0.6859088540077211,0.5818068981170654,0.5417280197143555,0.7458955645561218,1,1,1,0,0,0,0.7629276514053345,1
10,10,0.7728987336158752,0.8940174579620361,0.884792149066925,0.851983904838562,0.5739243626594543,1,1,1,1,1,0,0.9016793370246887,0
