,sample_idx,resnet50_sbb_l_trades8_255_adv_conf1_255,resnet50_sbb_l_trades8_255_adv_conf2_255,resnet50_sbb_l_trades8_255_adv_conf4_255,resnet50_sbb_l_trades8_255_is_acc,resnet50_sbb_l_trades8_255_is_rob1_255,resnet50_sbb_l_trades8_255_is_rob2_255,resnet50_sbb_l_trades8_255_is_rob4_255,resnet50_sbb_l_trades8_255_nat_conf,resnet50_sbb_l_trades8_255_pred
0,0,0.4350716471672058,0.4061326384544373,0.4126032590866089,0,1,1,0,0.4636244773864746,3
1,1,0.3606032431125641,0.3479659259319305,0.34307661652565,0,1,1,0,0.37450090050697327,3
2,2,0.5067171454429626,0.4808598160743714,0.4176783263683319,1,1,1,1,0.529235303401947,0
3,3,0.4152442514896393,0.3992863297462464,0.36638280749320984,0,1,1,1,0.4314262866973877,1
4,4,0.4939706027507782,0.4786341488361359,0.44737008213996887,0,1,1,1,0.5091903805732727,1
5,5,0.4287949502468109,0.4099151492118835,0.38151976466178894,0,1,1,0,0.44783926010131836,1
6,6,0.8125817179679871,0.8058478236198425,0.7887656688690186,1,1,1,1,0.8183951377868652,0
7,7,0.615545392036438,0.5981780290603638,0.5520285367965698,1,1,1,1,0.6286550164222717,0
8,8,0.6615114212036133,0.638414204120636,0.5770062208175659,1,1,1,1,0.6803228259086609,0
9,9,0.6752421855926514,0.6623047590255737,0.6294614672660828,1,1,1,1,0.6852302551269531,0
10,10,0.7617012262344359,0.7546747326850891,0.7368753552436829,1,1,1,1,0.7663965225219727,0
11,11,0.5389475822448729,0.525565505027771,0.49416786432266235,1,1,1,1,0.5502328276634216,0
12,12,0.8328197598457336,0.8268560171127319,0.8127401471138,1,1,1,1,0.8384506106376648,0
13,13,0.9193960428237916,0.910370111465454,0.8906828761100769,0,1,1,1,0.9277297854423523,1
14,14,0.6898012161254883,0.6830413937568665,0.659225583076477,1,1,1,1,0.6956028938293457,0
15,15,0.7690254449844359,0.761511504650116,0.743229866027832,1,1,1,1,0.775194525718689,0
16,16,0.7999368906021118,0.7968751788139343,0.7905649542808533,0,1,1,1,0.8029745221138,3
17,17,0.7190840840339661,0.7109814882278442,0.6911694407463074,1,1,1,1,0.7269050478935242,0
18,18,0.8404151201248169,0.8379359841346741,0.8328476548194885,1,1,1,1,0.8431436419487,0
19,19,0.7886438965797424,0.7870129942893982,0.783821702003479,1,1,1,1,0.7901926040649414,0
20,20,0.7464032769203186,0.7403409481048584,0.7271795868873596,1,1,1,1,0.7520621418952942,0
21,21,0.8725692629814148,0.8699474334716797,0.8651524186134338,1,1,1,1,0.8750609159469604,0
22,22,0.9075478315353394,0.9052551984786988,0.9003411531448364,1,1,1,1,0.9096710681915283,0
