,sample_idx,label,base_prediction,prediction,linf_radius,l2_radius
0,6659,1,1,1,0.00412602276164876,0.22868739380356168
1,4529,4,3,3,0.00412602276164876,0.22868739380356168
2,5519,6,6,6,0.0016491115412632128,0.09140303925811531
3,2523,4,0,0,0.0012366822666096215,0.06854388859479374
4,8484,3,7,7,0.0005443690213746805,0.03017199369879983
5,9523,5,5,5,0.00412602276164876,0.22868739380356168
6,6509,9,9,9,0.00412602276164876,0.22868739380356168
7,3298,3,3,3,0.004047723353656394,0.22434760011251073
8,786,3,3,3,0.00412602276164876,0.22868739380356168
9,3876,7,7,7,0.00412602276164876,0.22868739380356168
10,4263,6,6,6,0.00412602276164876,0.22868739380356168
11,63,3,3,9,0.0004973876237741247,0.027568020333847598
12,9148,3,5,5,0.001051509730142929,0.058280584872338954
13,8116,9,9,9,0.00412602276164876,0.22868739380356168
14,1438,5,2,2,0.0003229068998717504,0.017897317014157692
15,1861,3,3,3,0.00412602276164876,0.22868739380356168
16,9700,0,0,0,0.00412602276164876,0.22868739380356168
17,5028,9,9,9,0.00412602276164876,0.22868739380356168
18,4567,4,4,4,0.002401648970473149,0.13311289724175937
19,5700,3,3,3,0.00412602276164876,0.22868739380356168
20,5749,5,3,3,0.0021546464577083127,0.11942262838717133
21,7072,8,8,8,0.00412602276164876,0.22868739380356168
22,9224,6,6,6,0.0023811950447717952,0.13197922560883188
23,48,7,7,7,0.00412602276164876,0.22868739380356168
24,7731,1,1,1,0.00412602276164876,0.22868739380356168
25,5788,0,0,0,0.00412602276164876,0.22868739380356168
26,330,1,1,1,0.00412602276164876,0.22868739380356168
27,4153,0,0,0,0.00412602276164876,0.22868739380356168
28,1827,4,4,4,0.00412602276164876,0.22868739380356168
29,7334,5,5,5,0.00412602276164876,0.22868739380356168
30,6159,1,1,1,0.00412602276164876,0.22868739380356168
31,844,1,1,1,0.00412602276164876,0.22868739380356168
32,395,6,6,6,0.003136012302634597,0.17381544452237402
33,8768,2,2,2,0.0038612968900438027,0.214014796693234
34,8669,4,4,4,0.0022743097521334137,0.12605504137102247
35,4678,9,8,8,0.004047723353656394,0.22434760011251073
36,2892,0,0,0,0.00412602276164876,0.22868739380356168
37,2215,0,0,0,0.002821936652590197,0.15640760505686607
38,4760,3,0,3,0.0005387491776351249,0.02986051034239957
39,4367,0,0,0,0.0006217052077701108,0.0344584002300159
40,9896,4,4,4,0.00412602276164876,0.22868739380356168
41,9291,8,8,8,0.00412602276164876,0.22868739380356168
42,4566,8,8,8,0.00412602276164876,0.22868739380356168
43,9399,7,7,7,0.00412602276164876,0.22868739380356168
44,7767,9,9,9,0.00412602276164876,0.22868739380356168
45,5684,7,4,4,0.0006699278610756264,0.03713117096924574
46,8140,5,5,5,0.000536684057188741,0.029746049749219208
47,3629,1,1,1,0.00412602276164876,0.22868739380356168
48,2923,3,3,3,0.00412602276164876,0.22868739380356168
49,1508,8,8,8,0.00412602276164876,0.22868739380356168
50,4792,0,4,4,0.0028254480495950854,0.15660222643344246
51,7000,2,0,0,0.0021465889019325578,0.11897603331554164
52,9917,2,2,2,0.00412602276164876,0.22868739380356168
53,7615,5,5,5,0.00412602276164876,0.22868739380356168
54,9924,4,2,0,0.0003491405360729441,0.019351332718725554
55,987,1,1,1,0.00412602276164876,0.22868739380356168
56,3684,9,9,9,0.00412602276164876,0.22868739380356168
57,1900,8,8,8,0.00412602276164876,0.22868739380356168
58,8194,1,1,1,0.00412602276164876,0.22868739380356168
