,sample_idx,Carmon2019Unlabeled_cifar10_trades4_255_adv_conf4_255,Carmon2019Unlabeled_cifar10_trades4_255_is_acc,Carmon2019Unlabeled_cifar10_trades4_255_is_rob4_255,Carmon2019Unlabeled_cifar10_trades4_255_nat_conf,Carmon2019Unlabeled_cifar10_trades4_255_pred
0,0,0.8045567274093628,1,1,0.9142947793006897,3
1,1,0.9930903315544128,1,1,0.9954971075057983,8
2,2,0.9508673548698425,1,1,0.9936663508415222,8
3,3,0.9967972636222839,1,1,0.9982106685638428,0
4,4,0.5497490763664246,1,1,0.9150916934013367,6
5,5,0.771003782749176,1,1,0.9509305357933044,6
6,6,0.6220208406448364,1,0,0.9514397382736206,1
7,7,0.8101192116737366,0,0,0.35150909423828125,4
8,8,0.8309903144836426,1,0,0.6969230771064758,3
9,9,0.8587949872016907,1,0,0.996122419834137,1
10,10,0.5483608841896057,1,0,0.9654930233955383,0
11,11,0.9980517625808716,1,1,0.9988246560096741,9
12,12,0.87732994556427,1,0,0.6764793395996094,5
13,13,0.9984404444694519,1,1,0.9986904263496399,7
14,14,0.9927311539649963,1,1,0.9970905780792236,9
15,15,0.9985412359237671,1,1,0.9990231990814209,8
16,16,0.9695582389831543,1,1,0.9921495914459229,5
17,17,0.9909964799880981,1,1,0.9937757253646851,7
18,18,0.5506311058998108,1,0,0.9549333453178406,8
19,19,0.9632017612457275,1,1,0.9885838031768799,6
20,20,0.7260976433753967,1,0,0.9576032161712646,7
21,21,0.9913387298583984,1,1,0.9947935938835144,0
22,22,0.9528539776802063,1,0,0.5334761142730713,4
23,23,0.9994471669197083,1,1,0.9995575547218323,9
24,24,0.9418781399726868,1,0,0.6522290110588074,5
25,25,0.94754958152771,1,1,0.9671982526779175,2
26,26,0.8167924284934998,1,0,0.5797631144523621,4
27,27,0.9948888421058655,1,1,0.9964798092842102,0
28,28,0.9746177196502686,1,1,0.9960200190544128,9
29,29,0.9658274054527283,1,1,0.9761521220207214,6
30,30,0.6645511388778687,1,0,0.7104209661483765,6
31,31,0.8797798752784729,1,1,0.9609590172767639,5
32,32,0.8372698426246643,1,1,0.9716972708702087,4
33,33,0.7229137420654297,1,1,0.9472150802612305,5
34,34,0.9987737536430359,1,1,0.9991315007209778,9
35,35,0.6535428762435913,0,0,0.8134071826934814,3
36,36,0.864039957523346,1,0,0.7547693252563477,4
37,37,0.808188796043396,0,0,0.9215587377548218,9
38,38,0.9988480806350708,1,1,0.9991487264633179,9
39,39,0.9879454374313354,1,1,0.9929051995277405,5
40,40,0.9980446100234985,1,1,0.9985729455947876,4
41,41,0.9644562602043152,1,1,0.9832215309143066,6
42,42,0.7343271970748901,1,1,0.9837012887001038,5
43,43,0.8956868648529053,1,1,0.9513104557991028,6
44,44,0.9739807844161987,1,1,0.9828723073005676,0
45,45,0.9990543723106384,1,1,0.9992893934249878,9
46,46,0.9217691421508789,0,0,0.46529871225357056,2
47,47,0.9374540448188782,1,0,0.5507038235664368,9
48,48,0.7639735341072083,1,1,0.9345169067382812,7
49,49,0.8024947643280029,1,0,0.8388141393661499,6
50,50,0.9541854858398438,1,1,0.9956138134002686,9
51,51,0.9912618398666382,1,1,0.9947541952133179,8
52,52,0.7137162089347839,0,0,0.4054130017757416,3
53,53,0.8508133888244629,1,0,0.5139783024787903,3
54,54,0.9959064722061157,1,1,0.9967980980873108,8
55,55,0.8330593705177307,1,1,0.9755669832229614,8
56,56,0.9762495756149292,1,1,0.9951626062393188,7
57,57,0.7078089118003845,1,0,0.7049177289009094,7
58,58,0.9371516108512878,1,0,0.6261683106422424,4
59,59,0.6225410103797913,0,0,0.709831714630127,3
60,60,0.9820331931114197,1,1,0.9893769025802612,7
61,61,0.6667221188545227,0,0,0.7263554334640503,7
62,62,0.9916250109672546,1,1,0.993858277797699,6
63,63,0.6102656126022339,0,0,0.9897823333740234,9
64,64,0.7490430474281311,1,1,0.9524663090705872,6
65,65,0.777572751045227,1,1,0.8904855251312256,2
66,66,0.9927688837051392,1,1,0.9985223412513733,1
67,67,0.9981139898300171,1,1,0.9984058737754822,2
68,68,0.8547094464302063,0,0,0.5041931867599487,4
69,69,0.9822907447814941,1,1,0.9975656270980835,7
70,70,0.69120192527771,1,1,0.9666216969490051,2
71,71,0.6731093525886536,1,0,0.9160795211791992,6
72,72,0.9645311236381531,1,1,0.9861387610435486,8
73,73,0.9942157864570618,1,1,0.9959789514541626,8
74,74,0.9897576570510864,1,1,0.996626615524292,0
75,75,0.9654945731163025,1,1,0.9764292240142822,2
76,76,0.995926022529602,1,1,0.997886598110199,9
77,77,0.9518103003501892,1,1,0.9749765992164612,3
78,78,0.8928785920143127,1,1,0.9504685401916504,3
79,79,0.9955123066902161,1,1,0.9963539838790894,8
80,80,0.9516649842262268,1,1,0.9864344596862793,8
81,81,0.6820021867752075,1,1,0.8942497372627258,1
82,82,0.9990354776382446,1,1,0.9991907477378845,1
83,83,0.9990235567092896,1,1,0.9993820190429688,7
84,84,0.9946479201316833,1,1,0.9963047504425049,2
85,85,0.9644847512245178,0,1,0.9901424050331116,7
86,86,0.9109400510787964,1,1,0.9928608536720276,2
87,87,0.8151876926422119,1,1,0.9873591065406799,7
88,88,0.9909267425537109,1,1,0.9949707388877869,8
89,89,0.9982689619064331,1,1,0.9988434314727783,9
90,90,0.9903406500816345,1,1,0.9982253909111023,0
91,91,0.8603525161743164,1,1,0.9152737259864807,3
92,92,0.9978312849998474,1,1,0.9983207583427429,8
93,93,0.9576473832130432,1,1,0.9747792482376099,6
94,94,0.5639498829841614,1,1,0.8365539312362671,4
95,95,0.8931262493133545,1,1,0.9506375193595886,6
96,96,0.9798052906990051,1,1,0.9856589436531067,6
97,97,0.7244859337806702,1,1,0.8796183466911316,0
98,98,0.9993705153465271,1,1,0.9994107484817505,0
99,99,0.9986206293106079,1,1,0.9988227486610413,7
100,100,0.5164980292320251,1,0,0.8349566459655762,4
101,101,0.7098667621612549,1,1,0.9298136830329895,5
102,102,0.9772084951400757,1,1,0.9926530122756958,6
103,103,0.8936507105827332,1,1,0.980622410774231,3
104,104,0.999139666557312,1,1,0.9993101358413696,1
105,105,0.9992602467536926,1,1,0.9993653893470764,1
106,106,0.734436571598053,1,0,0.841175377368927,3
107,107,0.9687798023223877,1,1,0.9781491160392761,6
108,108,0.9961404204368591,1,1,0.9977139234542847,8
