,sample_idx,resnet50_mtsd_l_trades4_255_adv_conf4_255,resnet50_mtsd_l_trades4_255_is_acc,resnet50_mtsd_l_trades4_255_is_rob4_255,resnet50_mtsd_l_trades4_255_nat_conf,resnet50_mtsd_l_trades4_255_pred
0,0,0.47461384534835815,0,0,0.40586650371551514,14
1,1,0.9889090657234192,1,1,0.9923438429832458,1
2,2,0.6763136386871338,1,0,0.5262186527252197,1
3,3,0.9829249382019043,1,1,0.9910168647766113,1
4,4,0.6233552694320679,1,1,0.8576999306678772,1
5,5,0.8933486342430115,1,1,0.9221952557563782,1
6,6,0.8976655006408691,1,1,0.9123717546463013,1
7,7,0.9770163893699646,1,1,0.9809973239898682,1
8,8,0.8950044512748718,1,1,0.9700450301170349,1
9,9,0.5121141672134399,1,1,0.739062488079071,1
10,10,0.9862682819366455,1,1,0.9888505339622498,1
11,11,0.7976378202438354,1,1,0.9306324124336243,1
12,12,0.6707288026809692,1,1,0.8290179371833801,1
13,13,0.9208618998527527,1,1,0.9681606888771057,1
14,14,0.6567333936691284,1,1,0.842131495475769,1
15,15,0.9794327020645142,1,1,0.9836065769195557,1
16,16,0.9596039056777954,1,1,0.9825050830841064,2
17,17,0.6632005572319031,1,1,0.8697957992553711,2
18,18,0.4935440421104431,1,0,0.5828399658203125,2
19,19,0.3338561952114105,1,0,0.2840997278690338,2
20,20,0.997776448726654,1,1,0.9980698227882385,3
21,21,0.8405641913414001,1,1,0.8834604620933533,3
22,22,0.8827390074729919,1,1,0.9410825967788696,3
23,23,0.9975318908691406,1,1,0.9980303645133972,3
24,24,0.9809616208076477,1,1,0.9892562627792358,3
25,25,0.8209130167961121,1,1,0.8672460317611694,3
26,26,0.9648560285568237,1,1,0.977691650390625,3
27,27,0.9259070754051208,1,1,0.9380583167076111,3
28,28,0.9879772067070007,1,1,0.9899762272834778,3
29,29,0.7318580150604248,1,1,0.7985963821411133,3
30,30,0.9965618252754211,1,1,0.9973167777061462,3
31,31,0.8858085870742798,1,1,0.9105502367019653,3
32,32,0.9637625813484192,1,1,0.9718694090843201,3
33,33,0.994373083114624,1,1,0.9959855675697327,3
34,34,0.9466827511787415,1,1,0.9532907605171204,3
35,35,0.3965210020542145,1,1,0.6323129534721375,3
36,36,0.740683913230896,1,1,0.8186380863189697,3
37,37,0.9907325506210327,1,1,0.9926899075508118,3
38,38,0.9935665726661682,1,1,0.9946369528770447,3
39,39,0.9950491786003113,1,1,0.995728075504303,3
40,40,0.9975443482398987,1,1,0.9978638291358948,3
41,41,0.8976852893829346,1,1,0.9420782923698425,3
42,42,0.472306489944458,1,0,0.801246702671051,3
43,43,0.9819251298904419,1,1,0.9830834865570068,3
44,44,0.9563650488853455,1,1,0.9702742695808411,3
45,45,0.9922240972518921,1,1,0.9937851428985596,3
46,46,0.400190532207489,1,0,0.9614014029502869,3
47,47,0.9819042086601257,1,1,0.98735111951828,3
48,48,0.9925028085708618,1,1,0.9935517311096191,3
49,49,0.9936259984970093,1,1,0.9946198463439941,3
50,50,0.9266671538352966,1,1,0.9483359456062317,3
51,51,0.9679853916168213,1,1,0.9752309322357178,3
52,52,0.9702723622322083,1,1,0.9856578707695007,3
53,53,0.9634367227554321,1,1,0.9785158634185791,3
54,54,0.7714860439300537,1,1,0.8564172387123108,3
55,55,0.9661272764205933,1,1,0.9729599952697754,3
56,56,0.8210012316703796,1,1,0.9029828906059265,3
57,57,0.9979965090751648,1,1,0.9981727600097656,3
58,58,0.9908950328826904,1,1,0.9927073121070862,3
59,59,0.9532202482223511,1,1,0.9716408848762512,3
60,60,0.9907369017601013,1,1,0.9914498925209045,3
61,61,0.4883791208267212,1,1,0.6659552454948425,3
62,62,0.9777807593345642,1,1,0.9806249141693115,3
63,63,0.9968365430831909,1,1,0.9971255660057068,3
64,64,0.9914337396621704,1,1,0.9954081177711487,3
65,65,0.8056010007858276,1,1,0.9083040952682495,3
66,66,0.7328858971595764,1,1,0.807135283946991,3
67,67,0.9710074067115784,1,1,0.9812714457511902,3
68,68,0.585433840751648,1,1,0.7277572751045227,3
69,69,0.7636640071868896,1,1,0.8505347967147827,3
70,70,0.9892696738243103,1,1,0.9918085932731628,3
71,71,0.8673204183578491,1,1,0.9299699664115906,3
72,72,0.7837368249893188,1,1,0.8527495265007019,3
73,73,0.9969769716262817,1,1,0.9974797368049622,3
74,74,0.9935697317123413,1,1,0.995276689529419,3
75,75,0.8537735939025879,1,1,0.8767322897911072,3
76,76,0.9874952435493469,1,1,0.9916386008262634,3
77,77,0.7243314981460571,1,1,0.8101977705955505,3
78,78,0.9951262474060059,1,1,0.9956814050674438,3
79,79,0.9868048429489136,1,1,0.9890916347503662,3
80,80,0.9898686408996582,1,1,0.9912774562835693,3
81,81,0.9958904981613159,1,1,0.9963361024856567,3
82,82,0.7945178151130676,1,1,0.8536971211433411,3
83,83,0.9910674691200256,1,1,0.9924403429031372,3
84,84,0.7125148177146912,1,1,0.8939502835273743,3
