,sample_idx,resnet50_sbb_l_stdaug_trades1_255_adv_conf1_255,resnet50_sbb_l_stdaug_trades1_255_is_acc,resnet50_sbb_l_stdaug_trades1_255_is_rob1_255,resnet50_sbb_l_stdaug_trades1_255_nat_conf,resnet50_sbb_l_stdaug_trades1_255_pred
0,0,0.4397812783718109,0,1,0.4717999994754791,4
1,1,0.314983069896698,0,1,0.3535505533218384,4
2,2,0.9924331903457642,1,1,0.9936756491661072,0
3,3,0.7811028361320496,1,1,0.8724421262741089,0
4,4,0.9846888780593872,1,1,0.9864763021469116,0
5,5,0.9363887906074524,1,1,0.9529102444648743,0
6,6,0.9957899451255798,1,1,0.9964466691017151,0
7,7,0.9842324256896973,1,1,0.9865266680717468,0
8,8,0.9891062378883362,1,1,0.9910955429077148,0
9,9,0.9882436990737915,1,1,0.9896253943443298,0
10,10,0.9737754464149475,1,1,0.9771237969398499,0
11,11,0.9845967888832092,1,1,0.9867254495620728,0
12,12,0.9989925026893616,1,1,0.9990807771682739,0
13,13,0.5688278079032898,0,1,0.6058019399642944,1
14,14,0.9842960834503174,1,1,0.9866414070129395,0
15,15,0.9921143054962158,1,1,0.9927812218666077,0
16,16,0.8898217082023621,0,1,0.8951305150985718,3
17,17,0.9877045154571533,1,1,0.988938570022583,0
18,18,0.9889935851097107,1,1,0.989402174949646,0
19,19,0.9915321469306946,1,1,0.9918186664581299,0
20,20,0.9936138987541199,1,1,0.9939549565315247,0
21,21,0.993757963180542,1,1,0.9943884015083313,0
22,22,0.9961978793144226,1,1,0.9967232346534729,0
23,23,0.9911744594573975,1,1,0.9916404485702515,0
24,24,0.9923410415649414,1,1,0.9927558302879333,0
25,25,0.869351863861084,0,1,0.8967360258102417,1
26,26,0.9933667778968811,1,1,0.9937947988510132,0
27,27,0.9865245819091797,1,1,0.9869887828826904,0
28,28,0.9940847754478455,1,1,0.9945603013038635,0
29,29,0.9981414079666138,1,1,0.9983298182487488,0
30,30,0.990813672542572,1,1,0.9911766052246094,0
31,31,0.991320788860321,1,1,0.9916649460792542,0
32,32,0.9883390665054321,1,1,0.9897973537445068,0
33,33,0.7193038463592529,0,1,0.7420910596847534,1
34,34,0.9976208806037903,1,1,0.9977666139602661,0
35,35,0.9888485670089722,1,1,0.9898292422294617,0
36,36,0.9874206185340881,1,1,0.9895078539848328,0
37,37,0.9956929087638855,1,1,0.9961052536964417,0
38,38,0.995525062084198,1,1,0.9957190155982971,0
39,39,0.9934266805648804,1,1,0.9937374591827393,0
40,40,0.9951049089431763,1,1,0.9954798221588135,0
41,41,0.9973753690719604,1,1,0.997569739818573,0
42,42,0.7883923649787903,0,1,0.827289342880249,4
43,43,0.9900296330451965,1,1,0.9905984997749329,0
44,44,0.9917069673538208,1,1,0.9927788376808167,0
45,45,0.9796316027641296,1,1,0.9828342199325562,0
46,46,0.9620786309242249,1,1,0.9703340530395508,0
47,47,0.99883633852005,1,1,0.9990344047546387,0
48,48,0.9837031364440918,1,1,0.9858168363571167,0
49,49,0.9959248304367065,1,1,0.9962521195411682,0
50,50,0.9911927580833435,1,1,0.9918585419654846,0
51,51,0.971350371837616,1,1,0.9754535555839539,0
52,52,0.9950500130653381,1,1,0.9953230023384094,0
53,53,0.9936647415161133,1,1,0.9939461350440979,0
54,54,0.9792764186859131,1,1,0.9823060631752014,0
55,55,0.9965068697929382,1,1,0.9967553019523621,0
56,56,0.9921974539756775,1,1,0.9928372502326965,0
57,57,0.9907369017601013,1,1,0.991947591304779,0
58,58,0.9928268790245056,1,1,0.9933651089668274,0
59,59,0.9921401143074036,1,1,0.9929377436637878,0
60,60,0.9968814849853516,1,1,0.9971765279769897,0
61,61,0.9936036467552185,1,1,0.9939760565757751,0
62,62,0.9859755635261536,1,1,0.9866225123405457,0
63,63,0.9917894601821899,1,1,0.9929847717285156,0
64,64,0.5421819090843201,0,1,0.6422535181045532,4
65,65,0.9876297116279602,1,1,0.9892017841339111,0
66,66,0.9421738386154175,1,1,0.9700453877449036,0
67,67,0.6692500114440918,1,1,0.762557327747345,0
68,68,0.9773570895195007,1,1,0.9808078408241272,0
69,69,0.9894803762435913,1,1,0.9901198148727417,0
70,70,0.9908022880554199,1,1,0.9912292957305908,0
71,71,0.9971317052841187,1,1,0.9974830746650696,0
72,72,0.9849120378494263,1,1,0.9857956171035767,0
73,73,0.9904189705848694,1,1,0.9910842180252075,0
74,74,0.9713031053543091,1,1,0.9741365313529968,0
75,75,0.757597029209137,0,1,0.8381947875022888,1
76,76,0.9874973297119141,1,1,0.9889107942581177,0
77,77,0.9922587275505066,1,1,0.9930257797241211,0
78,78,0.9935086965560913,1,1,0.9937992691993713,0
79,79,0.995008111000061,1,1,0.9953847527503967,0
80,80,0.9899667501449585,1,1,0.9906448125839233,0
81,81,0.9937625527381897,1,1,0.9944118857383728,0
82,82,0.9947011470794678,1,1,0.9949592351913452,0
83,83,0.8261350989341736,0,1,0.8567474484443665,3
84,84,0.47111108899116516,1,0,0.523665726184845,0
85,85,0.9932952523231506,1,1,0.9940018057823181,0
86,86,0.9766137003898621,1,1,0.9803409576416016,0
87,87,0.9929908514022827,1,1,0.993716299533844,0
88,88,0.9900991320610046,1,1,0.9913956522941589,0
89,89,0.9837071299552917,1,1,0.9855605959892273,0
90,90,0.9817983508110046,1,1,0.9826176762580872,0
91,91,0.9421148896217346,1,1,0.9507705569267273,0
92,92,0.9708946943283081,1,1,0.9764898419380188,0
93,93,0.9945687055587769,1,1,0.9950559139251709,0
94,94,0.9887217283248901,1,1,0.990157425403595,0
95,95,0.9964529275894165,1,1,0.9966793060302734,0
96,96,0.9967004656791687,1,1,0.9971597194671631,0
97,97,0.9836674928665161,1,1,0.9871028065681458,0
98,98,0.9970190525054932,1,1,0.9971970319747925,0
99,99,0.9891993403434753,1,1,0.9906315803527832,0
100,100,0.9924289584159851,1,1,0.9930830001831055,0
101,101,0.9915086030960083,1,1,0.9924641847610474,0
102,102,0.9825542569160461,1,1,0.9857672452926636,0
103,103,0.9852240085601807,1,1,0.9869163036346436,0
104,104,0.9928064346313477,1,1,0.9939340949058533,1
105,105,0.9015524983406067,1,1,0.9352585673332214,1
106,106,0.9670731425285339,1,1,0.9738889336585999,1
107,107,0.9797102212905884,1,1,0.9868005514144897,1
108,108,0.9427515268325806,1,1,0.9667432308197021,1
109,109,0.9809942245483398,1,1,0.989180862903595,1
110,110,0.9891752600669861,1,1,0.9904449582099915,1
111,111,0.988319993019104,1,1,0.9919419288635254,1
112,112,0.9870096445083618,1,1,0.9892890453338623,1
113,113,0.9851653575897217,1,1,0.9893755912780762,1
