,sample_idx,resnet50_sbb_l_trades4_255_adv_conf4_255,resnet50_sbb_l_trades4_255_is_acc,resnet50_sbb_l_trades4_255_is_rob4_255,resnet50_sbb_l_trades4_255_nat_conf,resnet50_sbb_l_trades4_255_pred
0,0,0.46395063400268555,0,0,0.5472551584243774,4
1,1,0.32688432931900024,0,0,0.41843894124031067,4
2,2,0.8669273853302002,1,1,0.9289907217025757,0
3,3,0.35510537028312683,1,1,0.6855946779251099,0
4,4,0.7181875705718994,1,1,0.8088642358779907,0
5,5,0.5369122624397278,1,1,0.7697803974151611,0
6,6,0.9827277064323425,1,1,0.9878815412521362,0
7,7,0.8875918388366699,1,1,0.9354718327522278,0
8,8,0.8911961913108826,1,1,0.9532874226570129,0
9,9,0.9536116719245911,1,1,0.9652665257453918,0
10,10,0.9559798240661621,1,1,0.9671772718429565,0
11,11,0.8935228586196899,1,1,0.9311236143112183,0
12,12,0.9884672164916992,1,1,0.9904524087905884,0
13,13,0.9130716919898987,0,1,0.9484897255897522,1
14,14,0.9074777364730835,1,1,0.956866979598999,0
15,15,0.9695855379104614,1,1,0.9762643575668335,0
16,16,0.9216560125350952,0,1,0.9288369417190552,3
17,17,0.9592779874801636,1,1,0.9688959121704102,0
18,18,0.9867194294929504,1,1,0.9877369403839111,0
19,19,0.9787671566009521,1,1,0.9802781939506531,0
20,20,0.9768860936164856,1,1,0.9809519648551941,0
21,21,0.9839142560958862,1,1,0.9865784049034119,0
22,22,0.9906953573226929,1,1,0.9924820065498352,0
23,23,0.9830713868141174,1,1,0.9845288395881653,0
24,24,0.9812029004096985,1,1,0.9831441044807434,0
25,25,0.9294803142547607,0,1,0.960076630115509,1
26,26,0.9803920388221741,1,1,0.9831380844116211,0
27,27,0.9809377789497375,1,1,0.9824385046958923,0
28,28,0.9866577982902527,1,1,0.9882960915565491,0
29,29,0.9886478781700134,1,1,0.990739107131958,0
30,30,0.967210590839386,1,1,0.9719764590263367,0
31,31,0.9832913279533386,1,1,0.985173761844635,0
32,32,0.9657461047172546,1,1,0.9752510190010071,0
33,33,0.5157846212387085,0,1,0.6000919938087463,1
34,34,0.9927642941474915,1,1,0.9938451051712036,0
35,35,0.947826623916626,1,1,0.955542266368866,0
36,36,0.9575387239456177,1,1,0.9666013121604919,0
37,37,0.9926518797874451,1,1,0.9937466382980347,0
38,38,0.9881568551063538,1,1,0.9890751838684082,0
39,39,0.9793533682823181,1,1,0.9812240600585938,0
40,40,0.9851697087287903,1,1,0.9879114627838135,0
41,41,0.9921229481697083,1,1,0.9933411478996277,0
42,42,0.5761268138885498,0,1,0.7240933775901794,4
43,43,0.9756333827972412,1,1,0.9779754877090454,0
