,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades2_255_adv_conf2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades2_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades2_255_is_rob2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades2_255_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_trades2_255_pred
0,0,0.6539742350578308,0,0,0.5727664232254028,68
1,1,0.9081170558929443,1,0,0.9200613498687744,33
2,2,0.7003985643386841,0,0,0.2515045404434204,44
3,3,0.9900091886520386,1,1,0.9988464117050171,51
4,4,0.9996470212936401,1,1,0.9997881054878235,71
5,5,0.9287582635879517,0,0,0.5522052049636841,79
6,6,0.9392663240432739,0,0,0.4330314099788666,88
7,7,0.5250030159950256,0,0,0.49169546365737915,4
8,8,0.8234792947769165,1,0,0.5675108432769775,23
9,9,0.8108670711517334,0,1,0.9589419960975647,57
10,10,0.8961928486824036,0,1,0.9646483659744263,67
11,11,0.718475878238678,1,1,0.989105761051178,75
12,12,0.7092904448509216,1,0,0.5597392916679382,81
13,13,0.9987084865570068,1,1,0.9990481734275818,69
14,14,0.9992278814315796,1,1,0.9994805455207825,40
15,15,0.9136776328086853,1,1,0.9930332899093628,43
16,16,0.9999791383743286,1,1,0.99998939037323,92
17,17,0.9998376369476318,1,1,0.9999186992645264,97
18,18,0.9986080527305603,1,1,0.9991613626480103,70
19,19,0.9991888403892517,1,1,0.9995507597923279,53
20,20,0.9997120499610901,1,1,0.9997966885566711,70
21,21,0.9972479939460754,1,1,0.9996567964553833,49
22,22,0.3779725432395935,1,1,0.4408624470233917,75
23,23,0.7581310868263245,0,0,0.48819637298583984,49
24,24,0.9993693232536316,1,1,0.9997139573097229,21
25,25,0.9999098777770996,1,1,0.999957799911499,16
26,26,0.9998972415924072,1,1,0.9999179840087891,39
27,27,0.9997546076774597,1,1,0.9998701810836792,8
