,sample_idx,resnet50_mtsd_l_stdaug_trades2_255_adv_conf2_255,resnet50_mtsd_l_stdaug_trades2_255_is_acc,resnet50_mtsd_l_stdaug_trades2_255_is_rob2_255,resnet50_mtsd_l_stdaug_trades2_255_nat_conf,resnet50_mtsd_l_stdaug_trades2_255_pred
0,0,0.46776607632637024,0,0,0.3920840919017792,14
1,1,0.9956173896789551,1,1,0.9961332082748413,1
2,2,0.5675585269927979,1,1,0.6985270380973816,1
3,3,0.9894062876701355,1,1,0.9923111200332642,1
4,4,0.8666467070579529,1,1,0.9329919219017029,1
5,5,0.9819085597991943,1,1,0.9859116077423096,1
6,6,0.9762400388717651,1,1,0.9808201193809509,1
7,7,0.9933401942253113,1,1,0.9941620230674744,1
8,8,0.9849778413772583,1,1,0.9910249710083008,1
9,9,0.9020442366600037,1,1,0.9372881650924683,1
10,10,0.9915764927864075,1,1,0.9927387833595276,1
11,11,0.9447943568229675,1,1,0.9705249071121216,1
12,12,0.9453153014183044,1,1,0.9642531275749207,1
13,13,0.9883282780647278,1,1,0.9923796653747559,1
14,14,0.783856987953186,1,1,0.8863856196403503,1
15,15,0.9916061162948608,1,1,0.9929303526878357,1
16,16,0.9827334880828857,1,1,0.9913620352745056,2
17,17,0.8660650253295898,1,1,0.9419217109680176,2
18,18,0.6953364610671997,1,1,0.8448752164840698,2
19,19,0.38650989532470703,1,1,0.6392552256584167,2
20,20,0.9981527924537659,1,1,0.9982489347457886,3
21,21,0.8312391638755798,1,1,0.8580613136291504,3
22,22,0.9599503874778748,1,1,0.9755961894989014,3
23,23,0.9983718991279602,1,1,0.9985339641571045,3
24,24,0.992088794708252,1,1,0.9941300749778748,3
25,25,0.972307026386261,1,1,0.9768269658088684,3
26,26,0.9785773754119873,1,1,0.9845367074012756,3
27,27,0.9834811091423035,1,1,0.9861220717430115,3
28,28,0.9952516555786133,1,1,0.9956710338592529,3
29,29,0.9512826204299927,1,1,0.9656316041946411,3
30,30,0.9976959824562073,1,1,0.99787437915802,3
31,31,0.9864650964736938,1,1,0.9886736273765564,3
32,32,0.9898664951324463,1,1,0.9914724826812744,3
33,33,0.9956737160682678,1,1,0.9963580965995789,3
34,34,0.988987147808075,1,1,0.9898930191993713,3
35,35,0.714215874671936,1,1,0.8484797477722168,3
36,36,0.8368813991546631,1,1,0.8777021169662476,3
37,37,0.9934511184692383,1,1,0.9942981600761414,3
38,38,0.9940949082374573,1,1,0.99480801820755,3
39,39,0.9964660406112671,1,1,0.9966990351676941,3
40,40,0.9980695843696594,1,1,0.9981768131256104,3
41,41,0.9855620265007019,1,1,0.9906152486801147,3
42,42,0.9257734417915344,1,1,0.9680827260017395,3
43,43,0.9926519989967346,1,1,0.9930236339569092,3
44,44,0.9936204552650452,1,1,0.9949814677238464,3
45,45,0.9961987137794495,1,1,0.9966723918914795,3
46,46,0.9385905265808105,1,1,0.9709190726280212,3
47,47,0.9945481419563293,1,1,0.9954130053520203,3
48,48,0.9973043203353882,1,1,0.9974921941757202,3
49,49,0.9970452189445496,1,1,0.9972334504127502,3
50,50,0.9897376894950867,1,1,0.9911351203918457,3
51,51,0.9920904636383057,1,1,0.9935405850410461,3
52,52,0.9728080034255981,1,1,0.9825082421302795,3
53,53,0.9887034296989441,1,1,0.9921556115150452,3
54,54,0.8839280605316162,1,1,0.9210402369499207,3
55,55,0.993213415145874,1,1,0.9938910007476807,3
56,56,0.977024257183075,1,1,0.9812751412391663,3
57,57,0.998267650604248,1,1,0.9983555674552917,3
58,58,0.9947740435600281,1,1,0.9953076243400574,3
59,59,0.9746774435043335,1,1,0.9841287136077881,3
60,60,0.9967179894447327,1,1,0.9969314336776733,3
61,61,0.5134612321853638,1,1,0.624732494354248,3
62,62,0.99342280626297,1,1,0.9944604635238647,3
63,63,0.9974946975708008,1,1,0.997593343257904,3
64,64,0.9834797382354736,1,1,0.9889559149742126,3
65,65,0.8419801592826843,1,1,0.9126526713371277,3
66,66,0.9238597750663757,1,1,0.9473022818565369,3
