,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades1_255_adv_conf1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades1_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades1_255_is_rob1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades1_255_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades1_255_pred
0,0,0.2300792932510376,0,1,0.34095656871795654,68
1,1,0.4906773269176483,1,1,0.6099697947502136,33
2,2,0.3437579870223999,1,1,0.3636038303375244,72
3,3,0.7690927982330322,1,1,0.8444363474845886,51
4,4,0.835379421710968,1,1,0.8853909969329834,71
5,5,0.4752642512321472,0,1,0.6812012791633606,6
6,6,0.3119642734527588,0,0,0.19180884957313538,8
7,7,0.2698507308959961,0,0,0.15079064667224884,7
8,8,0.7145434021949768,1,1,0.7623394727706909,23
9,9,0.42827242612838745,0,0,0.33802005648612976,53
10,10,0.34384065866470337,0,1,0.42826560139656067,12
11,11,0.8908727765083313,1,1,0.9291952848434448,75
12,12,0.6080591082572937,1,1,0.7141591906547546,81
13,13,0.601311445236206,1,1,0.700767993927002,69
14,14,0.986771285533905,1,1,0.9891448616981506,40
15,15,0.8693961501121521,1,1,0.9463379383087158,43
16,16,0.9983147382736206,1,1,0.9987938404083252,92
17,17,0.6733205914497375,1,1,0.7993441224098206,97
18,18,0.9972321391105652,1,1,0.9975065588951111,70
19,19,0.9479690790176392,1,1,0.9677855968475342,53
20,20,0.9964075684547424,1,1,0.9969678521156311,70
21,21,0.501429557800293,1,1,0.6385505795478821,49
22,22,0.9939162135124207,1,1,0.9950541257858276,75
23,23,0.33210691809654236,0,0,0.2454645037651062,56
24,24,0.9129167199134827,1,1,0.9291190505027771,21
25,25,0.9892449378967285,1,1,0.9922034740447998,16
26,26,0.9982777833938599,1,1,0.9985370635986328,39
27,27,0.9961555600166321,1,1,0.9970979690551758,8
28,28,0.9873566627502441,1,1,0.9908106327056885,8
29,29,0.2684774398803711,0,1,0.3292638957500458,84
30,30,0.991832971572876,1,1,0.9925841093063354,20
