,sample_idx,resnet50_mtsd_l_trades1_255_adv_conf1_255,resnet50_mtsd_l_trades1_255_is_acc,resnet50_mtsd_l_trades1_255_is_rob1_255,resnet50_mtsd_l_trades1_255_nat_conf,resnet50_mtsd_l_trades1_255_pred
0,0,0.45107918977737427,0,0,0.4793910086154938,13
1,1,0.9907991290092468,1,1,0.9915887713432312,1
2,2,0.5613261461257935,1,1,0.6217927932739258,1
3,3,0.9875627756118774,1,1,0.9891119599342346,1
4,4,0.9150040745735168,1,1,0.9391847252845764,1
5,5,0.985527753829956,1,1,0.9872673153877258,1
6,6,0.9815017580986023,1,1,0.9835489988327026,1
7,7,0.9921665191650391,1,1,0.9925036430358887,1
8,8,0.9806354641914368,1,1,0.9854387044906616,1
9,9,0.9621212482452393,1,1,0.9675247669219971,1
10,10,0.9865185618400574,1,1,0.9872720837593079,1
11,11,0.960070788860321,1,1,0.968952476978302,1
12,12,0.9654927849769592,1,1,0.9708132743835449,1
13,13,0.9888091683387756,1,1,0.9906399250030518,1
14,14,0.76817786693573,1,1,0.8246622681617737,1
15,15,0.9894567131996155,1,1,0.9902926683425903,1
16,16,0.9772593975067139,1,1,0.9835875630378723,2
17,17,0.8391092419624329,1,1,0.8911543488502502,2
18,18,0.7444239258766174,1,1,0.8102494478225708,2
19,19,0.5177333950996399,1,1,0.6353474259376526,2
20,20,0.9977045655250549,1,1,0.9977593421936035,3
21,21,0.8993961811065674,1,1,0.9096935391426086,3
22,22,0.9830003976821899,1,1,0.9863970875740051,3
23,23,0.9974914789199829,1,1,0.99753737449646,3
24,24,0.9900861382484436,1,1,0.9909765124320984,3
25,25,0.9871025681495667,1,1,0.9879856705665588,3
26,26,0.9832120537757874,1,1,0.9858360290527344,3
27,27,0.9891853332519531,1,1,0.9899359345436096,3
28,28,0.9949256181716919,1,1,0.9951098561286926,3
29,29,0.9839030504226685,1,1,0.9851601123809814,3
30,30,0.996626615524292,1,1,0.9967867136001587,3
31,31,0.9916085600852966,1,1,0.9920110106468201,3
32,32,0.990132212638855,1,1,0.9907728433609009,3
33,33,0.9960513710975647,1,1,0.9962711334228516,3
34,34,0.9898170232772827,1,1,0.9901964664459229,3
35,35,0.8205195665359497,1,1,0.898634672164917,3
36,36,0.8853326439857483,1,1,0.9111202955245972,3
37,37,0.9942610263824463,1,1,0.9944241642951965,3
38,38,0.9922428727149963,1,1,0.9925726652145386,3
39,39,0.9949606657028198,1,1,0.9950802326202393,3
40,40,0.9977530837059021,1,1,0.9978479146957397,3
41,41,0.9892181158065796,1,1,0.9909874796867371,3
42,42,0.9836312532424927,1,1,0.9860329031944275,3
43,43,0.990666925907135,1,1,0.990829348564148,3
44,44,0.9962443113327026,1,1,0.9964106678962708,3
45,45,0.9962473511695862,1,1,0.9964286684989929,3
46,46,0.982750654220581,1,1,0.9881662130355835,3
47,47,0.9963000416755676,1,1,0.996423065662384,3
48,48,0.9968331456184387,1,1,0.996887743473053,3
49,49,0.9967331886291504,1,1,0.9968113303184509,3
50,50,0.9927037954330444,1,1,0.9930260181427002,3
51,51,0.9938323497772217,1,1,0.9942830204963684,3
52,52,0.9841629266738892,1,1,0.9870560169219971,3
53,53,0.9922055602073669,1,1,0.9935449361801147,3
54,54,0.9024782776832581,1,1,0.9202228784561157,3
55,55,0.9912649989128113,1,1,0.9917442202568054,3
56,56,0.9866095185279846,1,1,0.9877631068229675,3
57,57,0.9975079298019409,1,1,0.9976018071174622,3
58,58,0.9941654205322266,1,1,0.994387149810791,3
59,59,0.9841724634170532,1,1,0.987334132194519,3
60,60,0.9960232973098755,1,1,0.9961187839508057,3
61,61,0.6402472257614136,1,1,0.6924117207527161,3
62,62,0.9946091175079346,1,1,0.9949812293052673,3
63,63,0.9963082075119019,1,1,0.9964209794998169,3
64,64,0.9877395033836365,1,1,0.9894962906837463,3
65,65,0.9153558015823364,1,1,0.9406383633613586,3
66,66,0.9673669934272766,1,1,0.9711853861808777,3
67,67,0.9951187372207642,1,1,0.9957901835441589,3
68,68,0.84068763256073,1,1,0.9401941895484924,3
69,69,0.9810743927955627,1,1,0.9833396673202515,3
70,70,0.995506763458252,1,1,0.9957798719406128,3
71,71,0.9632412791252136,1,1,0.971617579460144,3
72,72,0.8488838076591492,1,1,0.8699857592582703,3
73,73,0.9970517158508301,1,1,0.9971987009048462,3
74,74,0.9966182112693787,1,1,0.9967327117919922,3
75,75,0.8651092648506165,1,1,0.8751723170280457,3
76,76,0.9941325783729553,1,1,0.994574785232544,3
77,77,0.8855423331260681,1,1,0.9068452715873718,3
78,78,0.9970017075538635,1,1,0.9970623850822449,3
79,79,0.9969249367713928,1,1,0.9969409108161926,3
80,80,0.9950546026229858,1,1,0.9952829480171204,3
81,81,0.9950323104858398,1,1,0.9951419830322266,3
82,82,0.9867039918899536,1,1,0.9876684546470642,3
83,83,0.9894980192184448,1,1,0.9899985194206238,3
84,84,0.9610232710838318,1,1,0.9769009947776794,3
85,85,0.9831027984619141,1,1,0.9855760335922241,3
86,86,0.6703357100486755,1,1,0.6933630704879761,3
87,87,0.8181487321853638,1,1,0.8267428874969482,3
