,sample_idx,resnet50_cifar10_trades2_255_adv_conf1_255,resnet50_cifar10_trades2_255_adv_conf2_255,resnet50_cifar10_trades2_255_is_acc,resnet50_cifar10_trades2_255_is_rob1_255,resnet50_cifar10_trades2_255_is_rob2_255,resnet50_cifar10_trades2_255_nat_conf,resnet50_cifar10_trades2_255_pred
0,0,0.8539658188819885,0.805736243724823,1,1,1,0.8881622552871704,3
1,1,0.9671801924705505,0.9421147704124452,1,1,1,0.9810560345649719,8
2,2,0.7973241806030273,0.5654076337814331,1,1,0,0.8857417702674866,8
3,3,0.9969683289527893,0.9948230981826782,1,1,1,0.9981252551078796,0
4,4,0.8193382620811462,0.7145041823387146,1,1,1,0.8838425278663635,6
5,5,0.8133997321128845,0.7337291240692139,1,1,1,0.8728659152984619,6
6,6,0.9961678385734558,0.9947575330734252,1,1,1,0.9971197843551636,1
7,7,0.4137222468852997,0.4729532897472382,1,1,0,0.532728910446167,6
8,8,0.8151834011077881,0.7470513582229614,1,1,1,0.8619872331619263,3
9,9,0.7434411644935608,0.8966092467308044,1,0,0,0.5287851691246033,1
10,10,0.7830758690834045,0.5631864666938782,1,1,1,0.9034343361854553,0
11,11,0.9992702603340149,0.9990574717521667,1,1,1,0.9994189739227295,9
12,12,0.4367128610610962,0.5286204814910889,0,1,0,0.5565115213394165,4
13,13,0.9994275569915771,0.999354898929596,1,1,1,0.9994902610778809,7
14,14,0.9977465271949768,0.9969551563262941,1,1,1,0.9983240962028503,9
15,15,0.983881950378418,0.973673403263092,1,1,1,0.9892390966415405,8
16,16,0.4482031464576721,0.552452027797699,1,1,0,0.5556885004043579,5
17,17,0.9774911403656006,0.9510394334793092,1,1,1,0.9873189330101013,7
18,18,0.9349764585494995,0.8723798990249634,1,1,1,0.966779887676239,8
19,19,0.9923321008682251,0.9895251989364624,1,1,1,0.9938706159591675,6
20,20,0.9657451510429382,0.9291051626205444,1,1,1,0.9826907515525818,7
21,21,0.6183460354804993,0.574123203754425,1,1,1,0.6598081588745117,0
22,22,0.8832868337631226,0.7790632247924805,0,1,1,0.9377990961074829,0
23,23,0.9997238516807556,0.999663472175598,1,1,1,0.99977046251297,9
24,24,0.5210486054420471,0.6518775224685669,1,0,0,0.41748055815696716,5
25,25,0.7588788866996765,0.6660294532775879,1,1,1,0.8271888494491577,2
26,26,0.6341425776481628,0.5068008303642273,1,1,1,0.7260183691978455,4
27,27,0.8611260056495667,0.7484493851661682,1,1,1,0.926016628742218,0
28,28,0.937936007976532,0.8960078358650208,1,1,1,0.9612155556678772,9
29,29,0.9891284108161926,0.9865055680274964,1,1,1,0.9909422993659973,6
30,30,0.6594005227088928,0.5338153243064879,1,1,1,0.7624995112419128,6
31,31,0.9173471927642822,0.8809623718261719,1,1,1,0.9422131776809692,5
32,32,0.5057724118232727,0.5175610780715942,1,1,0,0.6629709005355835,4
33,33,0.5487490892410278,0.4549957811832428,1,1,0,0.6299312114715576,5
34,34,0.9987665414810181,0.9984176158905028,1,1,1,0.999016284942627,9
35,35,0.3934442400932312,0.5664429068565369,0,0,0,0.4389983117580414,3
36,36,0.5831620097160339,0.484563946723938,1,1,1,0.6574550271034241,4
