,sample_idx,resnet50_mtsd_l_stdaug_trades4_255_adv_conf4_255,resnet50_mtsd_l_stdaug_trades4_255_is_acc,resnet50_mtsd_l_stdaug_trades4_255_is_rob4_255,resnet50_mtsd_l_stdaug_trades4_255_nat_conf,resnet50_mtsd_l_stdaug_trades4_255_pred
0,0,0.45735371112823486,0,0,0.45505863428115845,14
1,1,0.9893402457237244,1,1,0.9922458529472351,1
2,2,0.6926901936531067,1,0,0.4991356134414673,1
3,3,0.9739799499511719,1,1,0.9895842671394348,1
4,4,0.5843144655227661,1,1,0.8051239848136902,1
5,5,0.8679195046424866,1,1,0.8991659879684448,1
6,6,0.8324949741363525,1,1,0.858733594417572,1
7,7,0.9725301265716553,1,1,0.9778810739517212,1
8,8,0.9171180129051208,1,1,0.9672898054122925,1
9,9,0.3673841953277588,1,1,0.6233429908752441,1
10,10,0.9881805181503296,1,1,0.990223228931427,1
11,11,0.76109778881073,1,1,0.9186615347862244,1
12,12,0.6154013276100159,1,1,0.7860568165779114,1
13,13,0.9240436553955078,1,1,0.9657908082008362,1
14,14,0.527660071849823,1,1,0.7428346872329712,1
15,15,0.9787278771400452,1,1,0.9834428429603577,1
16,16,0.932916522026062,1,1,0.9731307625770569,2
17,17,0.6143805384635925,1,1,0.8274306058883667,2
18,18,0.5131542682647705,1,0,0.5177671909332275,2
19,19,0.3834785521030426,1,0,0.28499704599380493,2
20,20,0.9980917572975159,1,1,0.9983647465705872,3
21,21,0.7952328324317932,1,1,0.8373934626579285,3
22,22,0.8750830888748169,1,1,0.9289673566818237,3
23,23,0.9982287287712097,1,1,0.9984630346298218,3
24,24,0.9911790490150452,1,1,0.9950749278068542,3
25,25,0.7609177827835083,1,1,0.81932532787323,3
26,26,0.9592292904853821,1,1,0.974235475063324,3
27,27,0.9083160161972046,1,1,0.9230062961578369,3
28,28,0.9877176284790039,1,1,0.9899640679359436,3
29,29,0.6664138436317444,1,1,0.7479673624038696,3
30,30,0.9970133304595947,1,1,0.9978135824203491,3
31,31,0.8567754030227661,1,1,0.8891958594322205,3
32,32,0.9454032182693481,1,1,0.9590242505073547,3
33,33,0.9948252439498901,1,1,0.9962334036827087,3
34,34,0.9359045624732971,1,1,0.9432300329208374,3
35,35,0.3760538101196289,1,1,0.5446040034294128,3
36,36,0.7099937200546265,1,1,0.7784201502799988,3
37,37,0.9905559420585632,1,1,0.9931479096412659,3
38,38,0.9947094917297363,1,1,0.9957398176193237,3
39,39,0.995692789554596,1,1,0.9963326454162598,3
40,40,0.9974853992462158,1,1,0.9978160858154297,3
41,41,0.8967956900596619,1,1,0.9325263500213623,3
42,42,0.4426075518131256,1,0,0.7538139820098877,3
43,43,0.9790418744087219,1,1,0.9809598922729492,3
44,44,0.9447248578071594,1,1,0.9622767567634583,3
45,45,0.9933955073356628,1,1,0.9944990277290344,3
46,46,0.8365477323532104,1,1,0.9452545642852783,3
47,47,0.9794231057167053,1,1,0.98580002784729,3
48,48,0.9931243062019348,1,1,0.9942703247070312,3
49,49,0.9933972358703613,1,1,0.994422972202301,3
50,50,0.9021656513214111,1,1,0.9314868450164795,3
51,51,0.9596877694129944,1,1,0.9701735973358154,3
52,52,0.9651989936828613,1,1,0.9830993413925171,3
53,53,0.964020311832428,1,1,0.9760343432426453,3
54,54,0.7620036005973816,1,1,0.8425509929656982,3
55,55,0.9603628516197205,1,1,0.9691298604011536,3
56,56,0.7522571086883545,1,1,0.8620960712432861,3
57,57,0.9985120892524719,1,1,0.9986709356307983,3
58,58,0.9917002320289612,1,1,0.9935756325721741,3
59,59,0.9392528533935547,1,1,0.9641802310943604,3
60,60,0.9889407753944397,1,1,0.9898949265480042,3
61,61,0.5219685435295105,1,1,0.6889232397079468,3
62,62,0.9703972935676575,1,1,0.9740083813667297,3
63,63,0.9970075488090515,1,1,0.9973681569099426,3
64,64,0.9934242963790894,1,1,0.9964271187782288,3
65,65,0.8285489082336426,1,1,0.9099150896072388,3
66,66,0.646983802318573,1,1,0.7381227016448975,3
67,67,0.9708261489868164,1,1,0.9811076521873474,3
68,68,0.5339531302452087,1,1,0.6564393639564514,3
69,69,0.6928951144218445,1,1,0.7910130023956299,3
70,70,0.970870316028595,1,1,0.9797470569610596,3
