,sample_idx,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.25_adv_conf0.25,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.25_is_acc,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.25_is_rob0.25,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.25_nat_conf,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.25_pred
0,0,0.8799299597740173,1,1,0.936538815498352,3
1,1,0.9665629863739014,1,1,0.9856688976287842,8
2,2,0.6263381242752075,1,1,0.8605421781539917,8
3,3,0.9628829956054688,1,1,0.9877079129219055,0
4,4,0.9925447106361389,1,1,0.998065173625946,6
5,5,0.9867802262306213,1,1,0.9994511008262634,6
6,6,0.9701152443885803,1,1,0.9861343502998352,1
7,7,0.974859356880188,1,1,0.9942044615745544,6
8,8,0.8332155346870422,1,1,0.9556821584701538,3
9,9,0.8144602179527283,1,1,0.953669011592865,1
10,10,0.9553768634796143,1,1,0.9875257015228271,0
11,11,0.9974557757377625,1,1,0.9981585144996643,9
12,12,0.8264902830123901,0,0,0.5050023794174194,3
13,13,0.9916878342628479,1,1,0.9935078620910645,7
14,14,0.9985858201980591,1,1,0.9992044568061829,9
15,15,0.9991744160652161,1,1,0.9996662139892578,8
16,16,0.9834045767784119,1,1,0.9948511719703674,5
17,17,0.9984513521194458,1,1,0.9994932413101196,7
18,18,0.7990472316741943,1,1,0.955355703830719,8
19,19,0.9994364380836487,1,1,0.9997062087059021,6
20,20,0.9444596767425537,1,1,0.9845170378684998,7
21,21,0.9562908411026001,1,1,0.9713844656944275,0
22,22,0.5883358716964722,1,0,0.3738839328289032,4
23,23,0.9961850047111511,1,1,0.9974526762962341,9
24,24,0.7086607813835144,0,0,0.6841168403625488,4
25,25,0.5368428230285645,1,1,0.7780648469924927,2
26,26,0.6607763767242432,1,1,0.9458176493644714,4
27,27,0.997822642326355,1,1,0.9993448853492737,0
28,28,0.9495747685432434,1,1,0.9936249256134033,9
29,29,0.9995282888412476,1,1,0.9997655749320984,6
30,30,0.9978780746459961,1,1,0.9994655251502991,6
31,31,0.996253490447998,1,1,0.9991401433944702,5
32,32,0.9205943942070007,1,1,0.9802218079566956,4
33,33,0.70564204454422,1,1,0.9110231399536133,5
34,34,0.986738920211792,1,1,0.9898321628570557,9
35,35,0.7601784467697144,0,0,0.4566960334777832,3
36,36,0.7663343548774719,0,0,0.7130718231201172,7
37,37,0.687900722026825,1,0,0.5474593639373779,1
38,38,0.9874241948127747,1,1,0.9915080070495605,9
39,39,0.9422221779823303,1,1,0.9754781723022461,5
40,40,0.9999207258224487,1,1,0.999967098236084,4
41,41,0.9985767602920532,1,1,0.9996718168258667,6
42,42,0.9869714379310608,1,1,0.9944979548454285,5
43,43,0.9453908205032349,1,1,0.9896364808082581,6
44,44,0.9716535806655884,1,1,0.9822445511817932,0
45,45,0.9978188276290894,1,1,0.9985042810440063,9
46,46,0.8645742535591125,1,1,0.9649637937545776,3
47,47,0.365779846906662,1,0,0.47013190388679504,9
48,48,0.9836459159851074,1,1,0.9967876672744751,7
49,49,0.8508288860321045,1,1,0.9904212951660156,6
50,50,0.9903795719146729,1,1,0.9964998960494995,9
51,51,0.9489150047302246,1,1,0.9890495538711548,8
52,52,0.6773974299430847,0,0,0.7262383699417114,3
53,53,0.5549939870834351,1,1,0.9412818551063538,3
54,54,0.9993876218795776,1,1,0.9997109770774841,8
55,55,0.9568696022033691,1,1,0.9810117483139038,8
56,56,0.9743151664733887,1,1,0.9933214783668518,7
57,57,0.5344336032867432,1,1,0.9335152506828308,7
58,58,0.8271758556365967,0,0,0.6700233221054077,7
59,59,0.5407284498214722,1,0,0.7604647874832153,6
60,60,0.9998847246170044,1,1,0.9999336004257202,7
61,61,0.7420334219932556,0,0,0.6474278569221497,5
62,62,0.9989365935325623,1,1,0.9996476173400879,6
