,sample_idx,Sehwag2021Proxy_R18_adv_conf0.12,Sehwag2021Proxy_R18_adv_conf0.25,Sehwag2021Proxy_R18_is_acc,Sehwag2021Proxy_R18_is_rob0.12,Sehwag2021Proxy_R18_is_rob0.25,Sehwag2021Proxy_R18_nat_conf,Sehwag2021Proxy_R18_pred
0,0,0.7202585339546204,0.6951850056648254,1,1,1,0.7438557744026184,3
1,1,0.982553780078888,0.9759476780891418,1,1,1,0.9870794415473938,8
2,2,0.8780158162117004,0.8371925354003906,1,1,1,0.910322904586792,8
3,3,0.9607684016227722,0.9465694427490234,1,1,1,0.9698178172111511,0
4,4,0.9536738991737366,0.9139420390129089,1,1,1,0.9733440279960632,6
5,5,0.962534248828888,0.9397357702255249,1,1,1,0.9762425422668457,6
6,6,0.8657993078231812,0.8300572037696838,1,1,1,0.8934582471847534,1
7,7,0.9678245782852172,0.9382948279380798,1,1,1,0.9810507893562317,6
8,8,0.7874516248703003,0.729537308216095,1,1,1,0.842349648475647,3
9,9,0.690578818321228,0.5621179938316345,1,1,1,0.7971986532211304,1
10,10,0.9310114979743958,0.8876551389694214,1,1,1,0.9559597373008728,0
11,11,0.9991408586502076,0.9989972710609436,1,1,1,0.9992504715919495,9
12,12,0.459278553724289,0.49334242939949036,1,0,0,0.431207537651062,5
13,13,0.9993789196014404,0.9992753863334656,1,1,1,0.9994620680809021,7
14,14,0.9987869858741759,0.9983392953872681,1,1,1,0.9990912675857544,9
15,15,0.9991238713264464,0.9987598657608032,1,1,1,0.9993676543235779,8
16,16,0.8713244199752808,0.8381052613258362,1,1,1,0.897594153881073,5
17,17,0.9981009364128112,0.997154951095581,1,1,1,0.9986779093742371,7
18,18,0.977217733860016,0.9569595456123352,1,1,1,0.9865689277648926,8
19,19,0.9980928301811218,0.9973371624946594,1,1,1,0.998579740524292,6
20,20,0.960820198059082,0.9458692669868469,1,1,1,0.9705742001533508,7
21,21,0.9646808505058287,0.9604401588439941,1,1,1,0.9679857492446899,0
22,22,0.4496825635433197,0.4214351773262024,1,1,0,0.5166829824447632,4
23,23,0.9962245225906372,0.9954162836074829,1,1,1,0.9968501925468445,9
24,24,0.7453458309173584,0.6967952847480774,0,1,1,0.7861776947975159,4
25,25,0.5530694127082825,0.5142520070075989,1,1,1,0.5876927375793457,2
26,26,0.8061192035675049,0.7364127039909363,1,1,1,0.8610457181930542,4
27,27,0.9479183554649352,0.9269273281097412,1,1,1,0.9616049528121948,0
28,28,0.9471110701560974,0.912220299243927,1,1,1,0.9671550989151001,9
29,29,0.9997151494026184,0.999595582485199,1,1,1,0.9997875094413757,6
